,open,close,high,low,value,volume,begin,end
0,8141.0,8165.0,8328.0,8050.0,143188963.0,17442.0,2015-01-05 10:00:00,2015-01-05 10:59:59
1,8165.0,8212.0,8249.0,8165.0,97421893.0,11879.0,2015-01-05 11:00:00,2015-01-05 11:59:59
2,8208.0,8468.0,8496.0,8193.0,200684738.0,23978.0,2015-01-05 12:00:00,2015-01-05 12:59:59
3,8475.0,8460.0,8507.0,8435.0,69903858.0,8246.0,2015-01-05 13:00:00,2015-01-05 13:59:59
4,8460.0,8471.0,8479.0,8458.0,48106613.0,5681.0,2015-01-05 14:00:00,2015-01-05 14:59:59
5,8470.0,8492.0,8550.0,8462.0,99722324.0,11732.0,2015-01-05 15:00:00,2015-01-05 15:59:59
6,8492.0,8484.0,8520.0,8413.0,98191322.0,11573.0,2015-01-05 16:00:00,2015-01-05 16:59:59
7,8490.0,8507.0,8576.0,8421.0,132420423.0,15573.0,2015-01-05 17:00:00,2015-01-05 17:59:59
8,8506.0,8565.0,8580.0,8486.0,158140493.0,18492.0,2015-01-05 18:00:00,2015-01-05 18:59:59
9,8550.0,8917.0,8969.0,8550.0,439114202.0,49761.0,2015-01-06 10:00:00,2015-01-06 10:59:59
10,8912.0,8921.0,8930.0,8812.0,265712077.0,29985.0,2015-01-06 11:00:00,2015-01-06 11:59:59
11,8909.0,8950.0,8988.0,8853.0,142721380.0,15967.0,2015-01-06 12:00:00,2015-01-06 12:59:59
12,8950.0,8990.0,8991.0,8931.0,139892651.0,15600.0,2015-01-06 13:00:00,2015-01-06 13:59:59
13,8990.0,9001.0,9269.0,8800.0,684945154.0,75363.0,2015-01-06 14:00:00,2015-01-06 14:59:59
14,9020.0,9099.0,9270.0,8936.0,212052996.0,23258.0,2015-01-06 15:00:00,2015-01-06 15:59:59
15,9098.0,9067.0,9173.0,9067.0,119764656.0,13149.0,2015-01-06 16:00:00,2015-01-06 16:59:59
16,9070.0,9100.0,9125.0,9022.0,101296761.0,11174.0,2015-01-06 17:00:00,2015-01-06 17:59:59
17,9090.0,9140.0,9146.0,9050.0,214968225.0,23645.0,2015-01-06 18:00:00,2015-01-06 18:59:59
18,9200.0,9264.0,9345.0,9151.0,406404066.0,43808.0,2015-01-08 10:00:00,2015-01-08 10:59:59
19,9265.0,9274.0,9290.0,9227.0,230100486.0,24828.0,2015-01-08 11:00:00,2015-01-08 11:59:59
20,9273.0,9290.0,9295.0,9200.0,279468263.0,30206.0,2015-01-08 12:00:00,2015-01-08 12:59:59
21,9290.0,9393.0,9399.0,9290.0,355096274.0,37973.0,2015-01-08 13:00:00,2015-01-08 13:59:59
22,9393.0,9429.0,9474.0,9380.0,276618487.0,29366.0,2015-01-08 14:00:00,2015-01-08 14:59:59
23,9427.0,9460.0,9470.0,9389.0,130092887.0,13796.0,2015-01-08 15:00:00,2015-01-08 15:59:59
24,9460.0,9456.0,9460.0,9420.0,72607952.0,7688.0,2015-01-08 16:00:00,2015-01-08 16:59:59
25,9456.0,9533.0,9565.0,9443.0,221877849.0,23342.0,2015-01-08 17:00:00,2015-01-08 17:59:59
26,9540.0,9550.0,9565.0,9502.0,203824606.0,21370.0,2015-01-08 18:00:00,2015-01-08 18:59:59
27,9606.0,9624.0,9700.0,9505.0,312264250.0,32502.0,2015-01-09 10:00:00,2015-01-09 10:59:59
28,9618.0,9660.0,9660.0,9533.0,271855703.0,28302.0,2015-01-09 11:00:00,2015-01-09 11:59:59
29,9660.0,9749.0,9772.0,9656.0,238092671.0,24484.0,2015-01-09 12:00:00,2015-01-09 12:59:59
30,9749.0,9614.0,9760.0,9605.0,276446242.0,28628.0,2015-01-09 13:00:00,2015-01-09 13:59:59
31,9620.0,9620.0,9669.0,9613.0,103325903.0,10728.0,2015-01-09 14:00:00,2015-01-09 14:59:59
32,9620.0,9626.0,9651.0,9610.0,66789143.0,6939.0,2015-01-09 15:00:00,2015-01-09 15:58:11
33,9641.0,9680.0,9696.0,9637.0,65761859.0,6806.0,2015-01-09 16:00:00,2015-01-09 16:59:59
34,9677.0,9734.0,9748.0,9655.0,111141522.0,11455.0,2015-01-09 17:00:00,2015-01-09 17:59:59
35,9728.0,9794.0,9798.0,9725.0,140752805.0,14414.0,2015-01-09 18:00:00,2015-01-09 18:42:55
36,9780.0,9879.0,9927.0,9760.0,262639728.0,26622.0,2015-01-12 10:00:00,2015-01-12 10:59:59
37,9865.0,9750.0,9879.0,9678.0,223785748.0,22906.0,2015-01-12 11:00:00,2015-01-12 11:59:59
38,9749.0,9755.0,9795.0,9699.0,113956513.0,11687.0,2015-01-12 12:00:00,2015-01-12 12:59:59
39,9765.0,9666.0,9785.0,9651.0,138332084.0,14279.0,2015-01-12 13:00:00,2015-01-12 13:59:59
40,9668.0,9683.0,9753.0,9667.0,63105927.0,6502.0,2015-01-12 14:00:00,2015-01-12 14:59:59
41,9673.0,9771.0,9786.0,9671.0,89995047.0,9248.0,2015-01-12 15:00:00,2015-01-12 15:59:59
42,9774.0,9715.0,9782.0,9700.0,92901777.0,9544.0,2015-01-12 16:00:00,2015-01-12 16:59:59
43,9715.0,9760.0,9794.0,9715.0,97113458.0,9945.0,2015-01-12 17:00:00,2015-01-12 17:59:59
44,9760.0,9834.0,9840.0,9760.0,133265745.0,13585.0,2015-01-12 18:00:00,2015-01-12 18:59:59
45,9860.0,9876.0,9918.0,9795.0,237346589.0,24093.0,2015-01-13 10:00:00,2015-01-13 10:59:59
46,9876.0,9793.0,9900.0,9760.0,172528619.0,17564.0,2015-01-13 11:00:00,2015-01-13 11:59:59
47,9794.0,9796.0,9819.0,9755.0,68921013.0,7041.0,2015-01-13 12:00:00,2015-01-13 12:59:59
48,9789.0,9837.0,9875.0,9789.0,92198884.0,9366.0,2015-01-13 13:00:00,2015-01-13 13:59:59
49,9846.0,9940.0,9949.0,9836.0,217853172.0,22008.0,2015-01-13 14:00:00,2015-01-13 14:59:59
50,9940.0,9940.0,9995.0,9925.0,157822889.0,15833.0,2015-01-13 15:00:00,2015-01-13 15:59:59
51,9936.0,10036.0,10049.0,9913.0,225848260.0,22587.0,2015-01-13 16:00:00,2015-01-13 16:59:59
52,10036.0,10151.0,10156.0,10035.0,342585354.0,33921.0,2015-01-13 17:00:00,2015-01-13 17:59:59
53,10150.0,10003.0,10177.0,10000.0,349567945.0,34639.0,2015-01-13 18:00:00,2015-01-13 18:59:59
54,10018.0,10085.0,10125.0,9836.0,476613824.0,47663.0,2015-01-14 10:00:00,2015-01-14 10:59:59
55,10081.0,9935.0,10118.0,9915.0,517770823.0,51757.0,2015-01-14 11:00:00,2015-01-14 11:59:59
56,9935.0,9839.0,9942.0,9717.0,717928434.0,73082.0,2015-01-14 12:00:00,2015-01-14 12:59:59
57,9840.0,9725.0,9840.0,9725.0,232004575.0,23723.0,2015-01-14 13:00:00,2015-01-14 13:59:59
58,9730.0,9662.0,9744.0,9655.0,343923159.0,35431.0,2015-01-14 14:00:00,2015-01-14 14:59:59
59,9657.0,9563.0,9660.0,9555.0,352886756.0,36731.0,2015-01-14 15:00:00,2015-01-14 15:59:59
60,9570.0,9585.0,9625.0,9561.0,145741664.0,15184.0,2015-01-14 16:00:00,2015-01-14 16:59:59
61,9585.0,9614.0,9649.0,9482.0,573309393.0,60005.0,2015-01-14 17:00:00,2015-01-14 17:59:59
62,9615.0,9610.0,9681.0,9606.0,233870347.0,24270.0,2015-01-14 18:00:00,2015-01-14 18:59:59
63,9639.0,9640.0,9666.0,9528.0,293554636.0,30556.0,2015-01-15 10:00:00,2015-01-15 10:59:59
64,9647.0,9619.0,9777.0,9611.0,348178251.0,35933.0,2015-01-15 11:00:00,2015-01-15 11:59:59
65,9615.0,9563.0,9658.0,9548.0,204685843.0,21317.0,2015-01-15 12:00:00,2015-01-15 12:59:59
66,9570.0,9610.0,9628.0,9558.0,78042437.0,8135.0,2015-01-15 13:00:00,2015-01-15 13:59:59
67,9600.0,9402.0,9609.0,9325.0,376541505.0,39834.0,2015-01-15 14:00:00,2015-01-15 14:59:59
68,9400.0,9414.0,9481.0,9387.0,159075543.0,16872.0,2015-01-15 15:00:00,2015-01-15 15:59:59
69,9420.0,9417.0,9435.0,9350.0,259331623.0,27614.0,2015-01-15 16:00:00,2015-01-15 16:59:59
70,9428.0,9467.0,9543.0,9415.0,339992498.0,35876.0,2015-01-15 17:00:00,2015-01-15 17:59:59
71,9476.0,9240.0,9485.0,9220.0,463779896.0,49675.0,2015-01-15 18:00:00,2015-01-15 18:43:41
72,9275.0,9289.0,9445.0,9177.0,281642892.0,30204.0,2015-01-16 10:00:00,2015-01-16 10:59:59
73,9289.0,9293.0,9324.0,9210.0,124804689.0,13454.0,2015-01-16 11:00:00,2015-01-16 11:59:59
74,9302.0,9436.0,9460.0,9275.0,174130421.0,18602.0,2015-01-16 12:00:00,2015-01-16 12:59:59
75,9440.0,9455.0,9547.0,9431.0,275922522.0,29077.0,2015-01-16 13:00:00,2015-01-16 13:59:59
76,9450.0,9579.0,9599.0,9380.0,226809528.0,23876.0,2015-01-16 14:00:00,2015-01-16 14:59:59
77,9580.0,9535.0,9620.0,9513.0,147594788.0,15418.0,2015-01-16 15:00:00,2015-01-16 15:59:59
78,9537.0,9565.0,9597.0,9522.0,72713438.0,7605.0,2015-01-16 16:00:00,2015-01-16 16:59:59
79,9565.0,9542.0,9592.0,9525.0,122899565.0,12847.0,2015-01-16 17:00:00,2015-01-16 17:59:59
80,9549.0,9560.0,9618.0,9549.0,179176226.0,18704.0,2015-01-16 18:00:00,2015-01-16 18:41:46
81,9571.0,9605.0,9666.0,9561.0,540149799.0,56112.0,2015-01-19 10:00:00,2015-01-19 10:59:59
82,9605.0,9603.0,9620.0,9515.0,312481865.0,32684.0,2015-01-19 11:00:00,2015-01-19 11:59:59
83,9602.0,9650.0,9700.0,9602.0,233849820.0,24239.0,2015-01-19 12:00:00,2015-01-19 12:59:59
84,9650.0,9650.0,9657.0,9578.0,135478610.0,14082.0,2015-01-19 13:00:00,2015-01-19 13:59:59
85,9650.0,9590.0,9650.0,9570.0,67657053.0,7041.0,2015-01-19 14:00:00,2015-01-19 14:59:59
86,9590.0,9590.0,9620.0,9550.0,101708800.0,10626.0,2015-01-19 15:00:00,2015-01-19 15:59:59
87,9580.0,9522.0,9580.0,9522.0,88703542.0,9294.0,2015-01-19 16:00:00,2015-01-19 16:59:59
88,9522.0,9515.0,9551.0,9498.0,187065763.0,19662.0,2015-01-19 17:00:00,2015-01-19 17:59:59
89,9508.0,9420.0,9531.0,9415.0,242154250.0,25602.0,2015-01-19 18:00:00,2015-01-19 18:42:26
90,9420.0,9360.0,9445.0,9301.0,923733518.0,98751.0,2015-01-20 10:00:00,2015-01-20 10:59:59
91,9359.0,9534.0,9535.0,9353.0,159634498.0,16865.0,2015-01-20 11:00:00,2015-01-20 11:59:59
92,9536.0,9532.0,9640.0,9488.0,285694372.0,29862.0,2015-01-20 12:00:00,2015-01-20 12:59:59
93,9538.0,9483.0,9542.0,9476.0,54219290.0,5707.0,2015-01-20 13:00:00,2015-01-20 13:59:59
94,9491.0,9572.0,9583.0,9484.0,60929889.0,6393.0,2015-01-20 14:00:00,2015-01-20 14:59:59
95,9574.0,9534.0,9614.0,9511.0,126705243.0,13230.0,2015-01-20 15:00:00,2015-01-20 15:59:59
96,9530.0,9520.0,9550.0,9491.0,109046711.0,11447.0,2015-01-20 16:00:00,2015-01-20 16:59:59
97,9524.0,9410.0,9538.0,9380.0,234200874.0,24781.0,2015-01-20 17:00:00,2015-01-20 17:59:59
98,9411.0,9443.0,9500.0,9361.0,247156542.0,26198.0,2015-01-20 18:00:00,2015-01-20 18:43:36
99,9510.0,9485.0,9574.0,9456.0,151572567.0,15949.0,2015-01-21 10:00:00,2015-01-21 10:59:59
100,9482.0,9472.0,9559.0,9472.0,119797366.0,12582.0,2015-01-21 11:00:00,2015-01-21 11:59:59
101,9472.0,9505.0,9549.0,9465.0,103967985.0,10934.0,2015-01-21 12:00:00,2015-01-21 12:59:59
102,9501.0,9530.0,9555.0,9499.0,37293589.0,3910.0,2015-01-21 13:00:00,2015-01-21 13:59:59
103,9533.0,9580.0,9597.0,9532.0,100796077.0,10531.0,2015-01-21 14:00:00,2015-01-21 14:59:59
104,9587.0,9555.0,9598.0,9540.0,129062335.0,13490.0,2015-01-21 15:00:00,2015-01-21 15:59:59
105,9556.0,9684.0,9684.0,9556.0,341449272.0,35477.0,2015-01-21 16:00:00,2015-01-21 16:59:59
106,9684.0,9625.0,9717.0,9625.0,282130515.0,29155.0,2015-01-21 17:00:00,2015-01-21 17:59:59
107,9630.0,9696.0,9710.0,9592.0,221056214.0,22899.0,2015-01-21 18:00:00,2015-01-21 18:44:46
108,9709.0,9811.0,9850.0,9685.0,351779376.0,36034.0,2015-01-22 10:00:00,2015-01-22 10:59:59
109,9812.0,9922.0,9950.0,9775.0,415823226.0,42096.0,2015-01-22 11:00:00,2015-01-22 11:59:59
110,9929.0,10040.0,10122.0,9929.0,595081407.0,59324.0,2015-01-22 12:00:00,2015-01-22 12:59:59
111,10042.0,10139.0,10193.0,10037.0,280068030.0,27651.0,2015-01-22 13:00:00,2015-01-22 13:59:59
112,10150.0,10185.0,10188.0,10071.0,289830389.0,28557.0,2015-01-22 14:00:00,2015-01-22 14:59:59
113,10179.0,10184.0,10185.0,10125.0,240200291.0,23639.0,2015-01-22 15:00:00,2015-01-22 15:59:59
114,10179.0,10217.0,10229.0,10051.0,694411295.0,68405.0,2015-01-22 16:00:00,2015-01-22 16:59:59
115,10216.0,10420.0,10450.0,10141.0,712110794.0,69292.0,2015-01-22 17:00:00,2015-01-22 17:59:59
116,10420.0,10367.0,10421.0,10265.0,405494323.0,39218.0,2015-01-22 18:00:00,2015-01-22 18:59:59
117,10470.0,10464.0,10550.0,10390.0,452038643.0,43128.0,2015-01-23 10:00:00,2015-01-23 10:59:59
118,10464.0,10450.0,10504.0,10305.0,393552341.0,37791.0,2015-01-23 11:00:00,2015-01-23 11:59:59
119,10453.0,10511.0,10522.0,10391.0,354719769.0,33863.0,2015-01-23 12:00:00,2015-01-23 12:59:59
120,10511.0,10582.0,10625.0,10511.0,284641292.0,26928.0,2015-01-23 13:00:00,2015-01-23 13:59:59
121,10585.0,10606.0,10648.0,10570.0,162817702.0,15352.0,2015-01-23 14:00:00,2015-01-23 14:59:59
122,10606.0,10510.0,10620.0,10481.0,143437428.0,13592.0,2015-01-23 15:00:00,2015-01-23 15:59:59
123,10510.0,10531.0,10569.0,10496.0,86981696.0,8260.0,2015-01-23 16:00:00,2015-01-23 16:59:59
124,10524.0,10350.0,10524.0,10350.0,293838269.0,28173.0,2015-01-23 17:00:00,2015-01-23 17:59:59
