,open,close,high,low,value,volume,begin,end
0,2201.0,2220.5,2268.9,2200.9,152324166.9,68075.0,2015-01-05 10:00:00,2015-01-05 10:59:59
1,2218.0,2275.1,2277.3,2217.5,171107428.9,75747.0,2015-01-05 11:00:00,2015-01-05 11:59:59
2,2275.0,2308.0,2312.3,2260.0,154089588.1,67388.0,2015-01-05 12:00:00,2015-01-05 12:59:59
3,2309.6,2303.5,2317.0,2300.1,101193800.49999999,43837.0,2015-01-05 13:00:00,2015-01-05 13:59:59
4,2305.0,2302.0,2309.3,2285.1,81968646.89999999,35651.0,2015-01-05 14:00:00,2015-01-05 14:59:59
5,2303.5,2308.6,2312.7,2292.6,109713835.80000001,47615.0,2015-01-05 15:00:00,2015-01-05 15:59:59
6,2310.0,2304.0,2315.0,2296.0,88239403.89999998,38314.0,2015-01-05 16:00:00,2015-01-05 16:59:59
7,2304.0,2293.5,2308.7,2283.1,116283400.7,50651.0,2015-01-05 17:00:00,2015-01-05 17:59:59
8,2290.8,2280.9,2306.4,2276.1,308831289.5,134718.0,2015-01-05 18:00:00,2015-01-05 18:59:59
9,2289.9,2357.3,2376.0,2286.6,221716321.49999997,94525.0,2015-01-06 10:00:00,2015-01-06 10:59:59
10,2358.0,2320.0,2362.0,2281.5,431726688.90000004,186190.0,2015-01-06 11:00:00,2015-01-06 11:59:59
11,2318.1,2330.1,2343.0,2290.0,428039306.60000014,185178.0,2015-01-06 12:00:00,2015-01-06 12:59:59
12,2330.0,2330.8,2347.0,2321.8,101923175.90000002,43655.0,2015-01-06 13:00:00,2015-01-06 13:59:59
13,2330.0,2327.4,2334.4,2319.0,65250355.49999998,28063.0,2015-01-06 14:00:00,2015-01-06 14:59:59
14,2329.7,2330.9,2333.8,2322.4,85173224.60000001,36594.0,2015-01-06 15:00:00,2015-01-06 15:59:59
15,2330.0,2317.0,2339.7,2305.7,184982956.80000004,79492.0,2015-01-06 16:00:00,2015-01-06 16:59:59
16,2317.0,2341.9,2349.8,2315.1,159953452.29999995,68803.0,2015-01-06 17:00:00,2015-01-06 17:59:59
17,2340.0,2351.0,2360.8,2339.1,186817396.59999996,79512.0,2015-01-06 18:00:00,2015-01-06 18:59:59
18,2371.1,2390.1,2395.9,2361.0,185064266.0999999,77584.0,2015-01-08 10:00:00,2015-01-08 10:59:59
19,2388.3,2438.6,2446.7,2383.7,295413701.09999996,122063.0,2015-01-08 11:00:00,2015-01-08 11:59:59
20,2439.9,2473.7,2480.0,2429.0,322960624.9,131409.0,2015-01-08 12:00:00,2015-01-08 12:59:59
21,2473.7,2512.0,2523.2,2470.0,319943458.9,128217.0,2015-01-08 13:00:00,2015-01-08 13:59:59
22,2511.2,2539.9,2568.4,2504.0,226713767.9999999,89222.0,2015-01-08 14:00:00,2015-01-08 14:59:59
23,2540.0,2559.2,2566.4,2514.1,311826486.69999987,122835.0,2015-01-08 15:00:00,2015-01-08 15:59:59
24,2558.4,2560.3,2564.5,2545.2,260395410.59999993,101942.0,2015-01-08 16:00:00,2015-01-08 16:59:59
25,2560.9,2561.0,2595.1,2560.8,465431298.29999983,180619.0,2015-01-08 17:00:00,2015-01-08 17:59:59
26,2561.8,2560.8,2575.0,2535.1,345089393.5,135171.0,2015-01-08 18:00:00,2015-01-08 18:59:59
27,2565.0,2545.3,2579.0,2521.1,251847289.40000004,99021.0,2015-01-09 10:00:00,2015-01-09 10:59:59
28,2545.4,2495.7,2551.0,2488.3,701405279.8,279040.0,2015-01-09 11:00:00,2015-01-09 11:59:59
29,2495.4,2505.9,2516.9,2492.8,201071060.89999998,80244.0,2015-01-09 12:00:00,2015-01-09 12:59:59
30,2505.8,2467.8,2509.9,2465.0,570198883.6999998,229199.0,2015-01-09 13:00:00,2015-01-09 13:59:59
31,2469.1,2475.9,2481.0,2452.5,198366719.0,80387.0,2015-01-09 14:00:00,2015-01-09 14:59:59
32,2473.9,2468.6,2482.9,2456.0,230905420.10000005,93577.0,2015-01-09 15:00:00,2015-01-09 15:59:59
33,2470.1,2485.9,2513.5,2470.1,280542164.8,112396.0,2015-01-09 16:00:00,2015-01-09 16:59:59
34,2483.7,2478.7,2495.1,2469.0,339633005.6,136877.0,2015-01-09 17:00:00,2015-01-09 17:59:59
35,2477.0,2478.8,2485.1,2463.0,213239993.20000005,86213.0,2015-01-09 18:00:00,2015-01-09 18:42:55
36,2460.0,2489.4,2519.0,2451.1,310531248.70000005,124560.0,2015-01-12 10:00:00,2015-01-12 10:59:59
37,2487.2,2474.9,2496.6,2470.0,593720915.9,239583.0,2015-01-12 11:00:00,2015-01-12 11:59:59
38,2475.5,2462.8,2479.4,2452.1,281085950.5999999,114021.0,2015-01-12 12:00:00,2015-01-12 12:59:59
39,2462.7,2457.0,2468.4,2441.4,215061717.10000008,87678.0,2015-01-12 13:00:00,2015-01-12 13:59:59
40,2457.0,2452.5,2463.2,2446.5,102099997.20000003,41598.0,2015-01-12 14:00:00,2015-01-12 14:59:59
41,2452.8,2470.0,2475.1,2446.0,176467245.4,71644.0,2015-01-12 15:00:00,2015-01-12 15:59:59
42,2471.4,2458.0,2475.0,2451.4,172584437.20000002,70065.0,2015-01-12 16:00:00,2015-01-12 16:59:59
43,2458.2,2473.3,2480.0,2458.0,166958753.80000004,67557.0,2015-01-12 17:00:00,2015-01-12 17:59:59
44,2470.6,2476.9,2487.2,2469.0,215435123.89999995,86910.0,2015-01-12 18:00:00,2015-01-12 18:59:59
45,2479.9,2482.9,2498.0,2461.9,351759843.60000014,141996.0,2015-01-13 10:00:00,2015-01-13 10:59:59
46,2481.8,2498.5,2515.0,2481.7,483362128.7000001,193332.0,2015-01-13 11:00:00,2015-01-13 11:59:59
47,2498.5,2508.5,2513.5,2494.1,181535991.60000002,72451.0,2015-01-13 12:00:00,2015-01-13 12:59:59
48,2508.5,2503.2,2512.2,2500.7,118147448.99999999,47104.0,2015-01-13 13:00:00,2015-01-13 13:59:59
49,2503.2,2512.2,2515.0,2496.1,232019757.50000003,92489.0,2015-01-13 14:00:00,2015-01-13 14:59:59
50,2512.1,2512.7,2527.0,2508.0,249291351.69999996,98938.0,2015-01-13 15:00:00,2015-01-13 15:59:59
51,2512.8,2530.8,2543.4,2507.4,276459983.4,109471.0,2015-01-13 16:00:00,2015-01-13 16:59:59
52,2529.6,2525.0,2553.0,2524.1,548960755.3999999,216308.0,2015-01-13 17:00:00,2015-01-13 17:59:59
53,2525.0,2508.0,2533.8,2497.0,846305765.6,335566.0,2015-01-13 18:00:00,2015-01-13 18:59:59
54,2519.9,2532.7,2535.0,2502.2,209569694.70000008,83129.0,2015-01-14 10:00:00,2015-01-14 10:59:59
55,2532.8,2530.2,2548.4,2503.3,479925376.90000004,189675.0,2015-01-14 11:00:00,2015-01-14 11:59:59
56,2530.2,2540.0,2545.2,2528.4,194424671.50000003,76607.0,2015-01-14 12:00:00,2015-01-14 12:59:59
57,2540.1,2539.4,2548.2,2535.2,94684924.20000003,37232.0,2015-01-14 13:00:00,2015-01-14 13:59:59
58,2538.0,2537.4,2544.6,2533.0,100922412.89999999,39776.0,2015-01-14 14:00:00,2015-01-14 14:59:59
59,2537.4,2533.2,2539.3,2525.0,93318392.60000001,36862.0,2015-01-14 15:00:00,2015-01-14 15:59:59
60,2533.3,2536.7,2547.3,2528.1,141378760.79999998,55706.0,2015-01-14 16:00:00,2015-01-14 16:59:59
61,2538.0,2548.0,2561.0,2535.0,267737106.6,105052.0,2015-01-14 17:00:00,2015-01-14 17:59:59
62,2546.5,2566.0,2576.6,2545.2,283355002.2,110532.0,2015-01-14 18:00:00,2015-01-14 18:59:59
63,2598.0,2617.0,2625.0,2573.0,352628660.09999996,135871.0,2015-01-15 10:00:00,2015-01-15 10:59:59
64,2616.9,2631.6,2645.5,2613.6,503774307.7999998,191373.0,2015-01-15 11:00:00,2015-01-15 11:59:59
65,2631.5,2625.2,2637.3,2612.0,281275128.40000015,107172.0,2015-01-15 12:00:00,2015-01-15 12:59:59
66,2624.1,2648.7,2648.9,2615.7,189521665.79999995,71979.0,2015-01-15 13:00:00,2015-01-15 13:59:59
67,2647.7,2619.6,2653.0,2607.7,235668925.00000003,89600.0,2015-01-15 14:00:00,2015-01-15 14:59:59
68,2619.6,2620.0,2636.6,2611.2,274295930.8000001,104636.0,2015-01-15 15:00:00,2015-01-15 15:59:59
69,2621.0,2623.5,2625.0,2585.6,600611812.7000002,230911.0,2015-01-15 16:00:00,2015-01-15 16:59:59
70,2625.0,2637.2,2645.0,2620.0,443822864.2000001,168635.0,2015-01-15 17:00:00,2015-01-15 17:59:59
71,2635.9,2615.0,2644.0,2612.5,472974444.70000005,180044.0,2015-01-15 18:00:00,2015-01-15 18:43:41
72,2612.0,2612.9,2618.0,2590.0,145272092.6,55712.0,2015-01-16 10:00:00,2015-01-16 10:59:59
73,2612.6,2636.5,2640.0,2605.2,308096560.4,117300.0,2015-01-16 11:00:00,2015-01-16 11:59:59
74,2636.5,2649.0,2650.0,2635.1,252423432.60000014,95450.0,2015-01-16 12:00:00,2015-01-16 12:59:59
75,2648.9,2677.4,2679.0,2644.0,483060145.20000005,181255.0,2015-01-16 13:00:00,2015-01-16 13:59:59
76,2678.0,2720.0,2724.0,2676.1,508003707.50000006,188035.0,2015-01-16 14:00:00,2015-01-16 14:59:59
77,2719.1,2715.6,2728.8,2703.1,260359522.50000006,95908.0,2015-01-16 15:00:00,2015-01-16 15:59:59
78,2715.6,2728.3,2748.5,2711.5,302019494.1000001,110616.0,2015-01-16 16:00:00,2015-01-16 16:59:59
79,2729.0,2736.9,2740.2,2726.0,291912622.6999999,106804.0,2015-01-16 17:00:00,2015-01-16 17:59:59
80,2737.0,2735.0,2746.3,2730.6,344749631.99999994,125893.0,2015-01-16 18:00:00,2015-01-16 18:41:46
81,2735.0,2727.0,2760.0,2716.7,304489702.70000005,111091.0,2015-01-19 10:00:00,2015-01-19 10:59:59
82,2727.1,2792.0,2800.0,2723.3,521763132.99999994,188925.0,2015-01-19 11:00:00,2015-01-19 11:59:59
83,2794.6,2823.4,2828.1,2790.3,709448438.4999996,252440.0,2015-01-19 12:00:00,2015-01-19 12:59:59
84,2823.6,2813.2,2825.0,2790.0,332192334.2,118383.0,2015-01-19 13:00:00,2015-01-19 13:59:59
85,2813.9,2768.0,2819.3,2763.5,346485383.00000006,124392.0,2015-01-19 14:00:00,2015-01-19 14:59:59
86,2768.0,2760.0,2790.0,2750.5,404551361.00000006,146407.0,2015-01-19 15:00:00,2015-01-19 15:59:59
87,2760.0,2712.1,2760.0,2710.4,451335812.7000001,164733.0,2015-01-19 16:00:00,2015-01-19 16:59:59
88,2712.1,2678.2,2728.0,2676.1,610067662.2999998,226125.0,2015-01-19 17:00:00,2015-01-19 17:59:59
89,2678.3,2656.0,2685.0,2631.6,942303612.5999997,354664.0,2015-01-19 18:00:00,2015-01-19 18:42:27
90,2652.0,2610.0,2663.9,2596.2,493577060.7999999,187625.0,2015-01-20 10:00:00,2015-01-20 10:59:59
91,2611.1,2671.1,2675.5,2609.2,485915791.9000001,183088.0,2015-01-20 11:00:00,2015-01-20 11:59:59
92,2671.2,2657.0,2674.5,2650.1,246480677.20000008,92525.0,2015-01-20 12:00:00,2015-01-20 12:59:59
93,2659.2,2648.5,2660.0,2633.5,144318452.89999998,54565.0,2015-01-20 13:00:00,2015-01-20 13:59:59
94,2648.5,2665.8,2667.4,2648.5,131323890.09999998,49418.0,2015-01-20 14:00:00,2015-01-20 14:59:59
95,2666.3,2656.2,2674.9,2650.4,176659172.39999998,66321.0,2015-01-20 15:00:00,2015-01-20 15:59:59
96,2656.1,2641.9,2664.7,2635.6,204290832.0,77123.0,2015-01-20 16:00:00,2015-01-20 16:59:59
97,2643.9,2625.5,2645.0,2605.4,580805750.3999999,221380.0,2015-01-20 17:00:00,2015-01-20 17:59:59
98,2625.5,2623.7,2632.0,2606.0,308095279.5,117625.0,2015-01-20 18:00:00,2015-01-20 18:43:35
99,2639.0,2620.0,2652.4,2615.7,252047339.7,95628.0,2015-01-21 10:00:00,2015-01-21 10:59:59
100,2619.0,2653.0,2689.9,2617.3,571297009.8,214666.0,2015-01-21 11:00:00,2015-01-21 11:59:59
101,2653.2,2658.5,2676.6,2646.8,349090353.8000001,131322.0,2015-01-21 12:00:00,2015-01-21 12:59:59
102,2659.9,2663.9,2676.6,2658.6,117084391.60000001,43877.0,2015-01-21 13:00:00,2015-01-21 13:59:59
103,2663.9,2679.8,2685.0,2660.5,134635989.0,50404.0,2015-01-21 14:00:00,2015-01-21 14:59:59
104,2679.8,2690.8,2693.0,2675.3,207415519.00000003,77284.0,2015-01-21 15:00:00,2015-01-21 15:59:59
105,2691.9,2748.5,2748.5,2691.2,414082446.2999999,152714.0,2015-01-21 16:00:00,2015-01-21 16:59:59
106,2747.9,2731.3,2765.0,2731.3,634212888.2,230864.0,2015-01-21 17:00:00,2015-01-21 17:59:59
107,2732.1,2758.9,2765.0,2722.4,311277528.90000004,113529.0,2015-01-21 18:00:00,2015-01-21 18:44:46
108,2760.0,2771.0,2778.2,2744.6,361225426.90000004,130917.0,2015-01-22 10:00:00,2015-01-22 10:59:59
109,2769.6,2820.3,2826.6,2763.7,681481357.8000001,243741.0,2015-01-22 11:00:00,2015-01-22 11:59:59
110,2820.3,2823.3,2860.0,2815.1,750077649.4000001,264410.0,2015-01-22 12:00:00,2015-01-22 12:59:59
111,2824.4,2858.1,2866.9,2823.1,354007927.09999996,124193.0,2015-01-22 13:00:00,2015-01-22 13:59:59
112,2856.8,2856.2,2862.2,2831.2,395852724.40000004,139186.0,2015-01-22 14:00:00,2015-01-22 14:59:59
