,open,close,high,low,value,volume,begin,end
0,1000.5,998.5,1006.5,985.0,298612.0,301.0,2015-01-05 10:00:00,2015-01-05 10:59:11
1,1000.0,997.0,1005.0,994.0,283926.5,284.0,2015-01-05 11:00:00,2015-01-05 11:59:06
2,995.0,998.0,1001.5,995.0,184859.5,185.0,2015-01-05 12:00:00,2015-01-05 12:58:15
3,997.5,999.0,1002.5,997.5,67968.5,68.0,2015-01-05 13:00:00,2015-01-05 13:56:16
4,998.5,1011.0,1011.5,998.0,208807.5,208.0,2015-01-05 14:00:00,2015-01-05 14:59:16
5,1012.0,1007.0,1012.0,1003.0,151943.0,151.0,2015-01-05 15:00:00,2015-01-05 15:59:59
6,1007.5,1002.0,1008.0,1002.0,271656.5,270.0,2015-01-05 16:00:00,2015-01-05 16:35:06
7,1002.0,1001.0,1002.0,996.5,373923.5,374.0,2015-01-05 17:00:00,2015-01-05 17:59:59
8,1000.0,1000.5,1005.0,1000.0,190136.0,190.0,2015-01-05 18:00:00,2015-01-05 18:39:05
9,1007.0,1066.5,1112.5,1000.0,10118358.5,9435.0,2015-01-06 10:00:00,2015-01-06 10:59:59
10,1066.5,1066.0,1066.5,1040.0,3099188.5,2934.0,2015-01-06 11:00:00,2015-01-06 11:59:59
11,1066.0,1061.0,1087.0,1056.0,1501872.0,1407.0,2015-01-06 12:00:00,2015-01-06 12:58:10
12,1055.0,1050.5,1056.5,1040.5,920137.0,877.0,2015-01-06 13:00:00,2015-01-06 13:56:15
13,1051.0,1049.0,1051.0,1040.0,457946.5,438.0,2015-01-06 14:00:00,2015-01-06 14:59:10
14,1048.5,1050.5,1055.5,1048.5,696593.0,663.0,2015-01-06 15:00:00,2015-01-06 15:43:10
15,1049.0,1050.0,1055.0,1047.5,526972.0,501.0,2015-01-06 16:00:00,2015-01-06 16:56:01
16,1050.0,1048.0,1050.0,1045.5,222069.5,212.0,2015-01-06 17:00:00,2015-01-06 17:59:59
17,1048.0,1050.0,1050.5,1047.5,251850.5,240.0,2015-01-06 18:00:00,2015-01-06 18:37:06
18,1050.0,1065.0,1096.5,1050.0,4328181.5,4003.0,2015-01-08 10:00:00,2015-01-08 10:58:05
19,1070.0,1054.5,1072.5,1051.5,795992.5,748.0,2015-01-08 11:00:00,2015-01-08 11:59:59
20,1056.0,1073.5,1073.5,1050.0,1336786.5,1261.0,2015-01-08 12:00:00,2015-01-08 12:58:11
21,1072.5,1065.0,1072.5,1060.5,363011.5,341.0,2015-01-08 13:00:00,2015-01-08 13:59:59
22,1065.0,1062.0,1066.0,1059.0,448113.0,422.0,2015-01-08 14:00:00,2015-01-08 14:56:01
23,1066.5,1068.5,1068.5,1058.5,2414236.5,2265.0,2015-01-08 15:00:00,2015-01-08 15:59:59
24,1068.0,1062.5,1068.0,1061.0,790669.0,744.0,2015-01-08 16:00:00,2015-01-08 16:59:59
25,1063.5,1061.0,1070.0,1060.5,1529440.5,1437.0,2015-01-08 17:00:00,2015-01-08 17:58:16
26,1062.0,1060.0,1063.0,1059.0,380667.0,359.0,2015-01-08 18:00:00,2015-01-08 18:59:59
27,1058.5,1050.0,1068.0,1045.0,611045.0,579.0,2015-01-09 10:00:00,2015-01-09 10:59:15
28,1050.0,1042.0,1050.0,1041.5,451988.5,433.0,2015-01-09 11:00:00,2015-01-09 11:59:59
29,1046.0,1050.0,1056.0,1041.5,1333518.0,1266.0,2015-01-09 12:00:00,2015-01-09 12:56:00
30,1050.5,1067.5,1068.0,1046.0,1616197.0,1525.0,2015-01-09 13:00:00,2015-01-09 13:59:59
31,1067.5,1066.5,1068.0,1052.5,1052960.0,989.0,2015-01-09 14:00:00,2015-01-09 14:50:05
32,1065.5,1058.0,1068.0,1055.5,389518.0,366.0,2015-01-09 15:00:00,2015-01-09 15:59:11
33,1055.0,1061.0,1061.0,1050.0,992708.0,943.0,2015-01-09 16:00:00,2015-01-09 16:59:59
34,1060.0,1043.5,1060.0,1043.0,1523400.5,1452.0,2015-01-09 17:00:00,2015-01-09 17:59:59
