,open,close,high,low,value,volume,begin,end
0,193.0,193.55,195.0,192.0,44149630.5,227740.0,2015-01-05 10:00:00,2015-01-05 10:59:59
1,193.8,195.75,196.3,193.0,59249279.0,304270.0,2015-01-05 11:00:00,2015-01-05 11:59:59
2,195.9,198.15,199.0,195.0,88822510.0,450720.0,2015-01-05 12:00:00,2015-01-05 12:59:59
3,198.35,196.35,198.4,196.1,56282930.5,284690.0,2015-01-05 13:00:00,2015-01-05 13:59:59
4,196.45,197.45,198.5,196.35,48264520.5,244130.0,2015-01-05 14:00:00,2015-01-05 14:59:59
5,197.5,197.95,198.45,196.2,48019029.0,243240.0,2015-01-05 15:00:00,2015-01-05 15:59:59
6,198.05,197.65,200.0,197.55,67381435.5,338800.0,2015-01-05 16:00:00,2015-01-05 16:59:59
7,197.65,195.75,198.6,194.7,98738133.0,502290.0,2015-01-05 17:00:00,2015-01-05 17:59:59
8,195.75,196.15,196.95,195.5,82309030.5,419570.0,2015-01-05 18:00:00,2015-01-05 18:59:59
9,196.25,198.7,199.8,195.3,76862840.5,387600.0,2015-01-06 10:00:00,2015-01-06 10:59:59
10,198.8,198.95,200.0,198.0,87606913.5,440400.0,2015-01-06 11:00:00,2015-01-06 11:59:59
11,198.95,200.5,201.0,198.1,36765184.5,184270.0,2015-01-06 12:00:00,2015-01-06 12:59:59
12,200.5,199.15,200.75,198.1,77518194.0,389450.0,2015-01-06 13:00:00,2015-01-06 13:59:59
13,199.05,198.5,199.2,197.9,56673683.0,285230.0,2015-01-06 14:00:00,2015-01-06 14:59:59
14,198.35,196.65,198.6,196.05,76342890.0,387010.0,2015-01-06 15:00:00,2015-01-06 15:59:59
15,196.75,197.8,198.25,196.4,51723102.5,261840.0,2015-01-06 16:00:00,2015-01-06 16:59:16
16,197.8,199.15,199.45,196.95,57257277.5,288420.0,2015-01-06 17:00:00,2015-01-06 17:59:59
17,199.25,201.0,203.0,198.65,133265450.5,663580.0,2015-01-06 18:00:00,2015-01-06 18:59:59
18,202.05,203.4,205.85,201.05,147205212.5,721660.0,2015-01-08 10:00:00,2015-01-08 10:59:59
19,203.4,208.9,210.6,203.3,251374491.0,1214530.0,2015-01-08 11:00:00,2015-01-08 11:59:59
20,209.05,211.0,211.3,207.35,135418086.5,645380.0,2015-01-08 12:00:00,2015-01-08 12:59:59
21,211.0,211.3,211.95,209.55,168555891.5,798760.0,2015-01-08 13:00:00,2015-01-08 13:59:59
22,211.3,214.2,215.0,211.1,160365708.5,751310.0,2015-01-08 14:00:00,2015-01-08 14:59:59
23,214.2,214.3,215.0,212.05,101858051.5,476750.0,2015-01-08 15:00:00,2015-01-08 15:59:59
24,214.3,213.75,214.8,213.05,62233582.0,291010.0,2015-01-08 16:00:00,2015-01-08 16:59:59
25,213.5,214.7,214.8,212.75,91259070.0,426900.0,2015-01-08 17:00:00,2015-01-08 17:59:59
26,214.5,215.0,215.3,213.0,126618012.0,590740.0,2015-01-08 18:00:00,2015-01-08 18:59:59
27,215.0,213.3,216.95,212.6,95076517.5,443690.0,2015-01-09 10:00:00,2015-01-09 10:59:16
28,213.4,208.9,214.8,208.5,193754611.5,913720.0,2015-01-09 11:00:00,2015-01-09 11:59:59
29,209.2,209.85,210.6,208.2,89507163.0,427640.0,2015-01-09 12:00:00,2015-01-09 12:59:59
30,209.85,206.25,210.45,204.5,188034070.0,911620.0,2015-01-09 13:00:00,2015-01-09 13:59:59
31,206.25,205.0,206.35,204.2,93231237.0,454470.0,2015-01-09 14:00:00,2015-01-09 14:59:59
32,205.0,205.55,206.15,204.5,52462401.5,255590.0,2015-01-09 15:00:00,2015-01-09 15:59:11
33,205.55,207.15,208.55,205.2,71099983.0,343180.0,2015-01-09 16:00:00,2015-01-09 16:59:59
34,207.15,206.5,208.45,205.3,71602800.0,345940.0,2015-01-09 17:00:00,2015-01-09 17:59:59
35,206.7,208.5,208.5,206.15,49897815.0,240550.0,2015-01-09 18:00:00,2015-01-09 18:42:55
36,206.0,208.8,209.7,205.4,147951509.5,710520.0,2015-01-12 10:00:00,2015-01-12 10:59:59
37,208.8,207.0,209.25,206.45,76920013.5,370360.0,2015-01-12 11:00:00,2015-01-12 11:59:59
38,206.95,204.95,207.4,204.2,117559612.0,572020.0,2015-01-12 12:00:00,2015-01-12 12:59:59
39,205.0,202.75,205.4,201.95,90812638.5,446720.0,2015-01-12 13:00:00,2015-01-12 13:59:59
40,202.75,203.0,204.5,202.6,42775881.5,210170.0,2015-01-12 14:00:00,2015-01-12 14:59:59
41,203.0,203.7,204.15,202.6,27353230.5,134470.0,2015-01-12 15:00:00,2015-01-12 15:59:59
42,203.8,202.65,203.95,202.55,43857512.0,215870.0,2015-01-12 16:00:00,2015-01-12 16:59:59
43,202.65,203.0,203.95,202.6,52791473.5,259580.0,2015-01-12 17:00:00,2015-01-12 17:59:59
44,203.0,203.95,204.0,202.9,38927141.5,191120.0,2015-01-12 18:00:00,2015-01-12 18:59:59
45,203.95,203.3,204.7,201.05,77039261.0,380030.0,2015-01-13 10:00:00,2015-01-13 10:59:59
46,203.2,203.1,204.9,202.05,92485330.0,454310.0,2015-01-13 11:00:00,2015-01-13 11:59:59
47,203.1,203.75,204.0,202.65,33894538.0,166520.0,2015-01-13 12:00:00,2015-01-13 12:59:59
48,203.8,204.05,204.4,202.7,26445483.5,129700.0,2015-01-13 13:00:00,2015-01-13 13:59:59
49,204.05,206.35,206.45,204.05,54781585.0,266760.0,2015-01-13 14:00:00,2015-01-13 14:59:59
50,206.3,206.1,206.95,205.9,50868704.0,246170.0,2015-01-13 15:00:00,2015-01-13 15:59:59
51,206.1,207.1,207.5,206.1,92990897.0,449370.0,2015-01-13 16:00:00,2015-01-13 16:59:59
52,207.4,208.4,208.4,206.3,93867220.5,452270.0,2015-01-13 17:00:00,2015-01-13 17:59:59
53,208.4,205.55,208.75,204.9,108645184.5,525800.0,2015-01-13 18:00:00,2015-01-13 18:59:59
54,204.85,206.15,206.4,204.3,70889467.5,344930.0,2015-01-14 10:00:00,2015-01-14 10:59:59
55,206.0,206.6,207.1,205.0,75278366.0,364830.0,2015-01-14 11:00:00,2015-01-14 11:59:59
56,206.65,208.65,209.0,206.6,67097211.5,322910.0,2015-01-14 12:00:00,2015-01-14 12:59:59
57,208.8,207.65,209.0,207.65,53317638.5,255820.0,2015-01-14 13:00:00,2015-01-14 13:59:59
58,207.85,208.6,209.0,207.7,32117938.0,153930.0,2015-01-14 14:00:00,2015-01-14 14:59:59
59,208.6,208.85,209.2,207.25,64858674.0,311420.0,2015-01-14 15:00:00,2015-01-14 15:59:59
60,208.85,209.55,210.4,208.8,66789065.5,318690.0,2015-01-14 16:00:00,2015-01-14 16:59:59
61,209.5,210.3,210.65,209.2,112382550.5,534750.0,2015-01-14 17:00:00,2015-01-14 17:59:59
62,210.2,210.85,210.9,210.1,101548279.0,482090.0,2015-01-14 18:00:00,2015-01-14 18:59:59
63,211.75,213.85,214.65,211.3,146072528.0,685430.0,2015-01-15 10:00:00,2015-01-15 10:59:59
64,213.95,218.0,218.1,213.85,299740400.0,1384730.0,2015-01-15 11:00:00,2015-01-15 11:59:59
65,218.0,218.15,218.7,217.65,167493706.5,768210.0,2015-01-15 12:00:00,2015-01-15 12:59:59
66,218.05,221.6,221.9,217.95,272974078.0,1240550.0,2015-01-15 13:00:00,2015-01-15 13:59:59
67,221.65,220.3,221.65,219.35,266563577.5,1207490.0,2015-01-15 14:00:00,2015-01-15 14:59:59
