,open,close,high,low,value,volume,begin,end
0,228.5,225.9,229.7,225.65,15485186.5,67790.0,2015-01-05 10:00:00,2015-01-05 10:59:59
1,225.85,228.0,228.5,225.4,35381220.0,156130.0,2015-01-05 11:00:00,2015-01-05 11:59:59
2,227.65,233.55,233.6,226.2,32189600.5,139980.0,2015-01-05 12:00:00,2015-01-05 12:59:59
3,233.35,232.1,233.55,231.0,16870796.5,72540.0,2015-01-05 13:00:00,2015-01-05 13:59:59
4,231.85,233.15,233.55,231.85,17995113.0,77240.0,2015-01-05 14:00:00,2015-01-05 14:59:16
5,233.05,232.65,233.55,232.2,16263463.0,69780.0,2015-01-05 15:00:00,2015-01-05 15:59:59
6,232.95,233.7,234.45,232.55,24893041.0,106700.0,2015-01-05 16:00:00,2015-01-05 16:59:59
7,233.55,230.75,234.15,229.8,35814646.5,154630.0,2015-01-05 17:00:00,2015-01-05 17:59:59
8,230.75,235.0,237.75,230.65,61927052.5,263770.0,2015-01-05 18:00:00,2015-01-05 18:59:59
9,236.05,242.85,242.85,235.95,33402635.0,138570.0,2015-01-06 10:00:00,2015-01-06 10:59:59
10,242.95,240.5,243.2,238.2,73684778.5,305710.0,2015-01-06 11:00:00,2015-01-06 11:59:59
11,240.65,236.35,241.4,236.2,34352784.0,143920.0,2015-01-06 12:00:00,2015-01-06 12:59:59
12,236.55,235.35,237.6,234.2,32173470.5,136510.0,2015-01-06 13:00:00,2015-01-06 13:59:59
13,235.35,235.0,236.35,233.5,53390499.5,227300.0,2015-01-06 14:00:00,2015-01-06 14:59:59
14,235.0,230.45,236.25,230.3,41652031.5,178860.0,2015-01-06 15:00:00,2015-01-06 15:59:59
15,230.6,228.95,230.65,226.35,83895692.5,366800.0,2015-01-06 16:00:00,2015-01-06 16:59:59
16,228.6,229.75,230.25,228.1,22805798.5,99520.0,2015-01-06 17:00:00,2015-01-06 17:59:20
17,229.3,228.7,230.25,228.65,30683830.0,133770.0,2015-01-06 18:00:00,2015-01-06 18:59:59
18,230.6,234.35,234.45,229.65,29710702.5,127930.0,2015-01-08 10:00:00,2015-01-08 10:59:59
19,234.15,234.75,235.0,232.45,44484282.5,189940.0,2015-01-08 11:00:00,2015-01-08 11:59:59
20,234.75,231.7,234.9,229.8,58016938.5,249270.0,2015-01-08 12:00:00,2015-01-08 12:59:59
21,231.9,234.0,234.4,230.45,49462965.0,212670.0,2015-01-08 13:00:00,2015-01-08 13:59:59
22,233.8,242.0,242.4,233.45,72363066.0,303050.0,2015-01-08 14:00:00,2015-01-08 14:59:59
23,241.85,245.4,245.55,241.45,63390801.5,260630.0,2015-01-08 15:00:00,2015-01-08 15:59:59
24,245.4,245.6,246.6,243.7,44042475.0,179630.0,2015-01-08 16:00:00,2015-01-08 16:59:59
25,245.6,249.05,250.0,244.9,72252186.0,291540.0,2015-01-08 17:00:00,2015-01-08 17:59:59
26,249.05,245.1,249.8,244.65,82541302.5,333660.0,2015-01-08 18:00:00,2015-01-08 18:59:59
27,247.0,243.0,247.0,240.0,26968806.0,111250.0,2015-01-09 10:00:00,2015-01-09 10:59:59
28,243.0,234.35,243.15,234.0,100279600.0,421050.0,2015-01-09 11:00:00,2015-01-09 11:59:59
29,234.4,239.0,239.25,234.1,43447553.0,183380.0,2015-01-09 12:00:00,2015-01-09 12:59:59
30,239.2,232.15,239.7,231.25,84337817.5,360770.0,2015-01-09 13:00:00,2015-01-09 13:59:59
31,232.15,232.75,234.7,231.35,45144714.5,193760.0,2015-01-09 14:00:00,2015-01-09 14:59:59
32,232.55,231.1,233.65,230.6,52618022.0,226780.0,2015-01-09 15:00:00,2015-01-09 15:59:59
33,231.1,232.0,234.3,231.1,36857702.5,158210.0,2015-01-09 16:00:00,2015-01-09 16:59:59
34,232.05,233.15,235.25,230.8,59308985.5,254540.0,2015-01-09 17:00:00,2015-01-09 17:59:59
35,233.15,235.8,235.8,233.05,38227397.5,162720.0,2015-01-09 18:00:00,2015-01-09 18:42:56
36,234.4,235.95,237.5,233.1,40406660.5,171440.0,2015-01-12 10:00:00,2015-01-12 10:59:59
37,235.8,232.6,235.8,230.75,40465225.0,173580.0,2015-01-12 11:00:00,2015-01-12 11:59:59
38,232.55,231.65,233.5,231.0,28381771.5,122280.0,2015-01-12 12:00:00,2015-01-12 12:59:59
39,231.85,229.7,232.15,229.0,32967377.0,143160.0,2015-01-12 13:00:00,2015-01-12 13:59:59
40,229.5,229.3,230.1,228.5,24663486.5,107550.0,2015-01-12 14:00:00,2015-01-12 14:59:59
41,229.0,230.5,231.25,228.5,20233492.0,88010.0,2015-01-12 15:00:00,2015-01-12 15:59:59
42,230.6,229.0,231.2,229.0,35488105.0,154340.0,2015-01-12 16:00:00,2015-01-12 16:59:59
43,229.0,226.5,231.0,226.2,79825231.5,348960.0,2015-01-12 17:00:00,2015-01-12 17:59:59
44,226.5,229.0,229.6,226.5,104458020.0,458300.0,2015-01-12 18:00:00,2015-01-12 18:59:59
45,228.5,228.4,229.95,226.5,21173618.0,92790.0,2015-01-13 10:00:00,2015-01-13 10:59:05
46,228.4,227.4,229.25,226.35,34480547.0,151380.0,2015-01-13 11:00:00,2015-01-13 11:59:59
47,227.25,228.6,229.25,226.7,24375113.0,106920.0,2015-01-13 12:00:00,2015-01-13 12:59:59
48,228.6,228.7,230.0,228.4,27639793.5,120440.0,2015-01-13 13:00:00,2015-01-13 13:59:59
49,228.65,230.25,230.6,228.35,43965330.0,191300.0,2015-01-13 14:00:00,2015-01-13 14:59:59
50,230.2,231.3,232.2,230.05,35059026.5,151590.0,2015-01-13 15:00:00,2015-01-13 15:59:59
51,231.0,234.6,234.6,230.5,47451901.0,204050.0,2015-01-13 16:00:00,2015-01-13 16:59:59
52,234.45,236.9,236.9,233.6,65034238.5,276020.0,2015-01-13 17:00:00,2015-01-13 17:59:59
53,236.9,234.7,238.9,233.0,133830695.0,568410.0,2015-01-13 18:00:00,2015-01-13 18:59:59
54,234.45,234.65,237.3,232.45,25239695.0,107580.0,2015-01-14 10:00:00,2015-01-14 10:59:59
55,234.9,233.3,236.9,231.1,69705690.0,297330.0,2015-01-14 11:00:00,2015-01-14 11:59:59
56,233.1,238.15,239.45,233.1,53922753.5,227800.0,2015-01-14 12:00:00,2015-01-14 12:59:59
57,238.15,237.1,238.8,237.05,44830565.5,188200.0,2015-01-14 13:00:00,2015-01-14 13:59:59
58,237.4,238.25,238.9,237.05,14972758.0,62870.0,2015-01-14 14:00:00,2015-01-14 14:59:59
59,238.2,238.0,238.5,237.0,40256844.0,169360.0,2015-01-14 15:00:00,2015-01-14 15:59:59
60,238.1,239.3,240.5,237.55,44009075.5,184260.0,2015-01-14 16:00:00,2015-01-14 16:59:59
61,239.35,242.15,245.0,238.7,98457778.0,406820.0,2015-01-14 17:00:00,2015-01-14 17:59:59
62,242.1,244.0,245.1,242.05,114299985.0,468510.0,2015-01-14 18:00:00,2015-01-14 18:59:59
63,246.0,245.1,246.2,243.0,37013989.5,151260.0,2015-01-15 10:00:00,2015-01-15 10:59:59
64,245.2,254.8,256.55,245.0,153541850.0,610020.0,2015-01-15 11:00:00,2015-01-15 11:59:59
65,255.0,256.3,256.95,253.0,52538993.5,205930.0,2015-01-15 12:00:00,2015-01-15 12:59:59
66,256.05,257.9,258.0,254.55,70324365.0,273920.0,2015-01-15 13:00:00,2015-01-15 13:59:59
67,257.8,256.15,257.9,254.6,53556173.5,209440.0,2015-01-15 14:00:00,2015-01-15 14:59:59
68,256.05,255.55,257.8,255.05,46568192.5,181620.0,2015-01-15 15:00:00,2015-01-15 15:59:59
69,256.15,258.15,258.5,256.1,76123870.5,295730.0,2015-01-15 16:00:00,2015-01-15 16:59:59
70,258.2,255.5,259.4,255.5,98081566.0,380790.0,2015-01-15 17:00:00,2015-01-15 17:59:59
71,255.45,249.6,257.05,249.15,212160495.5,840170.0,2015-01-15 18:00:00,2015-01-15 18:43:41
72,251.3,248.45,251.3,247.5,27514778.0,110340.0,2015-01-16 10:00:00,2015-01-16 10:59:59
73,248.4,249.4,250.55,247.9,25928515.0,104150.0,2015-01-16 11:00:00,2015-01-16 11:59:59
74,249.25,252.3,252.75,248.7,28480619.5,113640.0,2015-01-16 12:00:00,2015-01-16 12:59:59
75,252.4,253.45,256.35,252.1,58473883.5,229960.0,2015-01-16 13:00:00,2015-01-16 13:59:59
