,open,close,high,low,value,volume,begin,end
0,234.65,233.55,234.74,233.55,45747386.79999999,195410.0,2020-03-03 12:00:00,2020-03-03 12:00:59
1,233.56,233.4,233.84,233.36,53276608.49999999,228120.0,2020-03-03 12:01:00,2020-03-03 12:01:59
2,233.4,233.28,233.49,232.9,73202219.39999996,313950.0,2020-03-03 12:02:00,2020-03-03 12:02:59
3,233.31,233.28,233.79,233.16,41618663.50000002,178190.0,2020-03-03 12:03:00,2020-03-03 12:03:59
4,233.29,233.14,233.47,232.93,45383659.60000002,194570.0,2020-03-03 12:04:00,2020-03-03 12:04:59
5,233.14,233.15,233.55,233.1,20782248.199999996,89060.0,2020-03-03 12:05:00,2020-03-03 12:05:59
6,233.15,233.41,233.55,233.11,5791909.8,24820.0,2020-03-03 12:06:00,2020-03-03 12:06:59
7,233.49,232.97,233.5,232.93,20447007.200000003,87710.0,2020-03-03 12:07:00,2020-03-03 12:07:59
8,232.97,232.8,232.99,232.8,37095717.7,159310.0,2020-03-03 12:08:00,2020-03-03 12:08:59
9,232.8,233.29,233.48,232.8,16248979.599999994,69710.0,2020-03-03 12:09:00,2020-03-03 12:09:59
10,233.37,233.51,233.7,233.35,10417327.899999997,44600.0,2020-03-03 12:10:00,2020-03-03 12:10:59
11,233.57,234.0,234.1,233.57,41904728.80000002,179120.0,2020-03-03 12:11:00,2020-03-03 12:11:59
12,234.05,233.98,234.18,233.8,21610216.300000004,92360.0,2020-03-03 12:12:00,2020-03-03 12:12:59
13,234.1,234.09,234.18,233.75,15482820.5,66150.0,2020-03-03 12:13:00,2020-03-03 12:13:59
14,234.14,233.95,234.4,233.86,27846857.29999999,118890.0,2020-03-03 12:14:00,2020-03-03 12:14:59
15,234.01,233.98,234.31,233.98,8382283.3,35800.0,2020-03-03 12:15:00,2020-03-03 12:15:59
16,233.98,233.62,234.02,233.53,19057702.5,81520.0,2020-03-03 12:16:00,2020-03-03 12:16:59
17,233.6,233.58,233.88,233.44,14426576.699999973,61770.0,2020-03-03 12:17:00,2020-03-03 12:17:59
18,233.67,233.55,233.91,233.53,18933517.700000003,81020.0,2020-03-03 12:18:00,2020-03-03 12:18:59
19,233.66,233.97,233.98,233.58,4791438.5,20500.0,2020-03-03 12:19:00,2020-03-03 12:19:59
20,233.85,233.91,233.98,233.67,10730310.000000013,45890.0,2020-03-03 12:20:00,2020-03-03 12:20:59
21,233.9,233.98,234.09,233.78,14815054.700000003,63330.0,2020-03-03 12:21:00,2020-03-03 12:21:59
22,234.07,234.03,234.28,233.94,18960618.99999999,80980.0,2020-03-03 12:22:00,2020-03-03 12:22:59
23,233.94,233.83,233.98,233.7,17410331.300000012,74460.0,2020-03-03 12:23:00,2020-03-03 12:23:59
24,233.82,233.83,233.89,233.63,19374724.3,82880.0,2020-03-03 12:24:00,2020-03-03 12:24:59
25,233.86,233.9,234.13,233.82,6709339.9,28680.0,2020-03-03 12:25:00,2020-03-03 12:25:59
26,233.9,233.86,234.0,233.69,3536239.6,15120.0,2020-03-03 12:26:00,2020-03-03 12:26:59
27,233.9,234.1,234.2,233.9,9915125.199999997,42350.0,2020-03-03 12:27:00,2020-03-03 12:27:59
28,234.08,234.23,234.54,234.02,19806957.699999988,84530.0,2020-03-03 12:28:00,2020-03-03 12:28:59
29,234.32,234.26,234.32,234.19,2616645.4999999967,11170.0,2020-03-03 12:29:00,2020-03-03 12:29:59
30,234.26,234.03,234.26,234.0,7442959.600000001,31790.0,2020-03-03 12:30:00,2020-03-03 12:30:59
31,234.0,234.01,234.16,233.87,6544663.199999997,27970.0,2020-03-03 12:31:00,2020-03-03 12:31:59
32,234.11,234.38,234.47,234.1,11128335.69999999,47500.0,2020-03-03 12:32:00,2020-03-03 12:32:59
33,234.38,234.4,234.5,234.31,9775955.499999998,41700.0,2020-03-03 12:33:00,2020-03-03 12:33:59
34,234.46,234.3,234.7,234.3,12057745.799999999,51410.0,2020-03-03 12:34:00,2020-03-03 12:34:59
35,234.36,234.25,234.5,234.2,9729066.899999987,41520.0,2020-03-03 12:35:00,2020-03-03 12:35:59
36,234.31,233.9,234.31,233.9,13930766.199999996,59510.0,2020-03-03 12:36:00,2020-03-03 12:36:59
37,233.97,234.25,234.39,233.9,8906713.800000004,38040.0,2020-03-03 12:37:00,2020-03-03 12:37:59
38,234.22,234.33,234.45,234.22,10469692.899999995,44680.0,2020-03-03 12:38:00,2020-03-03 12:38:59
39,234.38,234.1,234.45,234.01,4170777.1,17810.0,2020-03-03 12:39:00,2020-03-03 12:39:59
40,234.13,234.1,234.13,233.9,9243595.900000002,39500.0,2020-03-03 12:40:00,2020-03-03 12:40:59
41,234.1,234.18,234.31,234.01,10959472.400000034,46810.0,2020-03-03 12:41:00,2020-03-03 12:41:59
42,234.19,234.2,234.33,234.15,1932404.3,8250.0,2020-03-03 12:42:00,2020-03-03 12:42:59
43,234.25,234.12,234.33,234.07,11233616.200000003,47950.0,2020-03-03 12:43:00,2020-03-03 12:43:59
44,234.12,234.31,234.42,234.01,11835451.599999994,50530.0,2020-03-03 12:44:00,2020-03-03 12:44:59
45,234.39,234.11,234.41,234.02,8469392.9,36170.0,2020-03-03 12:45:00,2020-03-03 12:45:59
46,234.11,234.49,234.58,234.09,28159587.700000014,120120.0,2020-03-03 12:46:00,2020-03-03 12:46:59
47,234.58,234.8,234.8,234.56,12436019.4,52990.0,2020-03-03 12:47:00,2020-03-03 12:47:59
48,234.79,234.77,234.8,234.53,15404817.0,65640.0,2020-03-03 12:48:00,2020-03-03 12:48:59
49,234.8,234.68,235.13,234.65,100982309.9,429840.0,2020-03-03 12:49:00,2020-03-03 12:49:59
50,234.75,234.76,234.9,234.64,5033655.500000001,21440.0,2020-03-03 12:50:00,2020-03-03 12:50:59
51,234.76,234.8,234.9,234.63,7498246.400000001,31950.0,2020-03-03 12:51:00,2020-03-03 12:51:59
52,234.77,234.53,234.82,234.53,4414196.3999999985,18810.0,2020-03-03 12:52:00,2020-03-03 12:52:59
53,234.53,234.53,234.7,234.53,3757772.3,16020.0,2020-03-03 12:53:00,2020-03-03 12:53:59
54,234.54,234.54,234.62,234.53,2528426.7,10780.0,2020-03-03 12:54:00,2020-03-03 12:54:59
55,234.56,234.54,234.7,234.54,6763824.2,28830.0,2020-03-03 12:55:00,2020-03-03 12:55:59
56,234.56,234.53,234.62,234.53,16534676.399999952,70500.0,2020-03-03 12:56:00,2020-03-03 12:56:59
57,234.54,234.66,234.7,234.53,5784693.300000001,24660.0,2020-03-03 12:57:00,2020-03-03 12:57:59
58,234.7,234.77,234.94,234.7,14763260.500000002,62870.0,2020-03-03 12:58:00,2020-03-03 12:58:59
59,234.81,235.03,235.18,234.78,12169698.500000007,51790.0,2020-03-03 12:59:00,2020-03-03 12:59:59
60,235.03,234.86,235.09,234.82,9070088.200000001,38610.0,2020-03-03 13:00:00,2020-03-03 13:00:59
61,234.85,234.91,235.07,234.76,11485127.7,48880.0,2020-03-03 13:01:00,2020-03-03 13:01:59
62,234.91,234.59,234.92,234.53,13715947.800000008,58450.0,2020-03-03 13:02:00,2020-03-03 13:02:59
63,234.53,234.53,234.62,234.53,2746637.8000000003,11710.0,2020-03-03 13:03:00,2020-03-03 13:03:59
64,234.55,234.58,234.61,234.53,2795841.6,11920.0,2020-03-03 13:04:00,2020-03-03 13:04:59
65,234.58,234.6,234.77,234.58,4756568.4,20270.0,2020-03-03 13:05:00,2020-03-03 13:05:59
66,234.6,234.47,234.6,234.35,13574818.800000003,57890.0,2020-03-03 13:06:00,2020-03-03 13:06:59
67,234.42,234.3,234.57,234.2,23765978.59999999,101390.0,2020-03-03 13:07:00,2020-03-03 13:07:59
68,234.3,234.12,234.33,234.05,11270186.299999999,48130.0,2020-03-03 13:08:00,2020-03-03 13:08:59
69,234.14,234.08,234.37,234.06,5933631.000000001,25340.0,2020-03-03 13:09:00,2020-03-03 13:09:59
