name,price,predicted_price,lowest,highest,date,predicted_date,potential_risk,%_change,potential_yield_return
sibn,790.1,1209.5039639624067,798.9213802820809,1612.402566625624,February 22. 2024,December 18. 2024,1.358395056726797,53.082390072447375,64.58357458814432
rosn,562.35,814.2689815295604,586.0289010600636,1043.2677402929103,February 22. 2024,December 18. 2024,5.123024739588757,44.79754272776036,54.50367698544177
nvtk,1339.6,2030.9532499974089,1027.018585848243,2943.4110398443627,February 22. 2024,December 18. 2024,-28.389622814121452,51.6089317704844,62.790866987422696
sber,284.23,407.02961549222096,211.13414992239936,577.4488696119068,February 22. 2024,December 18. 2024,-31.289196869113326,43.204311822193624,52.56524605033558
lkoh,7021.5,9663.160857412939,5379.036123124164,14118.002378152527,February 22. 2024,December 18. 2024,-28.46017304278194,37.622457557686225,45.77399002851824
tatn,695.9,930.3039149809573,545.670412974629,1304.449411182966,February 22. 2024,December 18. 2024,-26.265171846654408,33.68356300919059,40.98166832784856
plzl,10798.0,15247.349176656337,7055.682756749793,23335.31350993741,February 22. 2024,December 18. 2024,-42.16662943095405,41.20530817425761,50.13312494534676
gmkn,14382.0,18756.925882231026,10573.142708325076,26232.092885505263,February 22. 2024,December 18. 2024,-32.221594387923496,30.41945405528456,37.01033576726289
sngs,28.49,38.1839621074609,14.846355001400509,60.199502847315316,February 22. 2024,December 18. 2024,-58.265244231763354,34.02584102302879,41.398106578018364
gazp,158.4,153.1435375526469,45.593200270310824,262.35997653705516,February 22. 2024,December 18. 2024,-86.6466369977621,-3.318473767268372,-4.0374764168431865
