,ds,0,7,10
0,2016-12-31 23:59:59.999999999,30.05.2018,25.0,9.36
1,2017-03-31 23:59:59.999999999,30.05.2018,22.5,6.61
2,2017-06-30 23:59:59.999999999,03.08.2018,21.6,9.99
3,2017-12-31 23:59:59.999999999,27.04.2018,27.1,18.7
4,2018-03-31 23:59:59.999999999,30.05.2018,21.6,10.8
5,2018-06-30 23:59:59.999999999,03.08.2018,28.8,12.7
6,2018-09-30 23:59:59.999999999,07.11.2018,35.3,12.4
7,2018-12-31 23:59:59.999999999,11.02.2019,32.7,17.5
8,2019-03-31 23:59:59.999999999,14.05.2019,31.9,6.52
9,2019-06-30 23:59:59.999999999,06.08.2019,38.7,12.2
10,2019-09-30 23:59:59.999999999,05.11.2019,45.6,13.4
11,2019-12-31 23:59:59.999999999,11.02.2020,56.0,19.2
12,2020-03-31 23:59:59.999999999,01.06.2020,40.2,11.6
13,2020-06-30 23:59:59.999999999,07.09.2020,62.1,11.2
14,2020-09-30 23:59:59.999999999,12.11.2020,81.7,11.9
15,2020-12-31 23:59:59.999999999,25.02.2021,85.6,21.3
16,2021-03-31 23:59:59.999999999,27.05.2021,55.1,14.6
17,2021-06-30 23:59:59.999999999,24.08.2021,68.0,16.3
18,2021-09-30 23:59:59.999999999,23.11.2021,70.7,22.0
19,2021-12-31 23:59:59.999999999,01.03.2022,65.7,30.2
20,2022-06-30 23:59:59.999999999,21.09.2022,98.8,41.4
21,2022-12-31 23:59:59.999999999,15.03.2023,84.1,49.4
22,2023-06-30 23:59:59.999999999,29.08.2023,131.9,39.0
