,Корреляция,normalized_rmse,combined_score
"Чистые активы, млрд руб",0.5560767548137547,0.9507331371631712,0.5286805976075966
"Активы, млрд руб",0.7646436779183833,0.6574662698019442,0.5027274266486387
"Процентные расходы, млрд руб",0.4457484864436225,0.8801447708336552,0.3923231994503708
"Долг, млрд руб",0.5757135684744359,0.672159309086716,0.38697123441762454
"Выручка, млрд руб",0.5768829731712964,0.6484739825939145,0.37409359910300893
P/BV,0.6566450833122803,0.5078708943793068,0.33349092575158223
"EV, млрд руб",0.8502597993509221,0.24798248545730972,0.21084953832747513
"ROA, %",0.42417877917545327,0.4855963210175437,0.20597965462131318
"R&D/CAPEX, %",0.5558032824780597,0.29536165231491784,0.1641629758747747
"EBITDA, млрд руб",0.45284669334933564,0.0,0.0
