,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-11-10,0.0
1,,2024-11-07,21.16
2,2022-08-30,2022-11-10,51.03
3,2021-05-20,2021-07-15,12.55
4,2020-05-22,2020-07-16,15.24
5,2019-11-04,2019-07-18,16.61
6,2018-05-16,2018-07-19,8.04
7,2017-04-13,2017-07-20,8.04
8,2016-04-14,2016-07-20,7.89
9,2015-05-15,2015-07-16,7.2
10,2014-05-15,2014-07-17,7.2
11,2013-05-02,2013-05-13,5.99
12,2012-06-02,2012-10-05,8.97
13,2011-04-02,2011-12-05,3.85
14,2010-04-16,2010-07-05,2.39
15,2009-04-23,2009-08-05,0.36
16,2008-04-15,2008-08-05,2.66
17,2007-05-22,2007-11-05,2.54
18,2006-04-20,2006-12-05,1.5
