,ds,y,"Капитализация, млрд руб",P/E
15,2014-03-31 23:59:59.999999999,224.0,3208.0,14.3
17,2014-09-30 23:59:59.999999999,105.6,0.0,0.00
18,2014-12-31 23:59:59.999999999,-397.0,3172.0,-47.1
19,2015-03-31 23:59:59.999999999,382.0,3288.0,36.3
20,2015-06-30 23:59:59.999999999,294.0,3453.0,8.98
21,2015-09-30 23:59:59.999999999,-2.0,3185.0,11.5
22,2015-12-31 23:59:59.999999999,113.2,3222.0,4.09
23,2016-03-31 23:59:59.999999999,362.0,3498.0,4.56
24,2016-06-30 23:59:59.999999999,245.0,3303.0,4.60
25,2016-09-30 23:59:59.999999999,102.0,3193.0,3.88
26,2016-12-31 23:59:59.999999999,242.0,3659.0,3.85
27,2017-03-31 23:59:59.999999999,333.0,3028.0,3.28
28,2017-06-30 23:59:59.999999999,48.0,2805.0,3.87
29,2017-09-30 23:59:59.999999999,200.5,2893.0,3.51
30,2017-12-31 23:59:59.999999999,132.8,3089.0,4.32
31,2018-03-31 23:59:59.999999999,371.6,3369.0,4.48
32,2018-06-30 23:59:59.999999999,259.2,3338.0,3.46
33,2018-09-30 23:59:59.999999999,386.4,3849.0,3.35
34,2018-12-31 23:59:59.999999999,438.8,3634.0,2.50
35,2019-03-31 23:59:59.999999999,535.9,3542.0,2.19
36,2019-06-30 23:59:59.999999999,301.0,5512.0,3.32
37,2019-09-30 23:59:59.999999999,213.0,5348.0,3.59
38,2019-12-31 23:59:59.999999999,153.1,6070.0,5.05
39,2020-03-31 23:59:59.999999999,-116.0,4304.0,7.81
40,2020-06-30 23:59:59.999999999,149.0,4598.0,11.5
41,2020-09-30 23:59:59.999999999,-251.0,4054.0,-62.5
42,2020-12-31 23:59:59.999999999,353.0,5034.0,37.3
43,2021-03-31 23:59:59.999999999,447.0,5382.0,7.71
44,2021-06-30 23:59:59.999999999,521.0,6652.0,6.22
45,2021-09-30 23:59:59.999999999,582.0,8565.0,4.50
46,2021-12-31 23:59:59.999999999,543.0,8120.0,3.88
47,2022-03-31 23:59:59.999999999,1487.0,5740.0,1.83
48,2022-06-30 23:59:59.999999999,1027.0,4888.0,1.34
50,2023-03-31 23:59:59.999999999,314.8,4014.0,2.99
51,2023-06-30 23:59:59.999999999,-18.6,3954.0,13.4
