,Корреляция,normalized_rmse,combined_score
"Выручка, млрд руб",0.8601249473610109,0.9831740395183712,0.8456525189874514
"EBITDA, млрд руб",0.8419842345357905,0.8808446975540709,0.7416573484149743
"EV, млрд руб",0.9888007297415083,0.7260278371524285,0.7178968551889703
"ROE, %",0.8323069635710815,0.8478608050421951,0.705680452175602
"ROA, %",0.7491518380471501,0.9382072706269308,0.7028597012593651
"Рентаб EBITDA, %",0.7010283818631808,0.9820779009978341,0.6884644818001008
"Активы, млрд руб",0.6924236214102483,0.9318321692856398,0.6452226052033303
"Долг, млрд руб",0.7549274942555252,0.8221546046637418,0.6206671155894405
"Доходность FCF, %",0.7314315441140231,0.7955683341525883,0.5819037750974488
P/BV,0.7539854420965844,0.0,0.0
