,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-12-26,557.45
1,,2024-07-10,0.0
2,,2024-06-14,0.0
3,2023-03-11,2023-12-26,915.33
4,2022-04-22,2022-06-14,1166.22
5,2021-11-23,2022-01-14,1523.17
6,2021-09-04,2021-01-06,1021.22
7,2020-03-11,2020-12-24,623.35
8,2020-07-04,2020-05-25,557.2
9,2019-11-11,2019-12-27,604.09
10,2019-08-20,2019-07-10,883.93
11,2019-04-26,2019-06-21,792.52
12,2018-08-14,2018-01-10,776.02
13,2018-05-25,2018-07-17,607.98
14,2017-08-25,2017-10-19,224.2
15,2017-04-28,2017-06-23,446.1
16,2016-11-11,2016-12-28,444.25
17,2016-04-28,2016-06-21,230.14
18,2015-10-11,2015-12-30,321.95
19,2015-04-08,2015-09-25,305.07
20,2015-10-04,2015-05-25,670.04
21,2014-10-31,2014-12-22,762.34
22,2014-04-25,2014-06-17,248.48
23,2013-10-25,2013-01-11,220.7
24,2013-04-19,2013-04-30,400.83
25,2012-05-21,2012-05-24,196.0
26,2011-06-04,2011-05-16,180.0
27,2010-05-27,2010-05-21,210.0
28,2008-05-26,2008-05-26,112.0
29,2007-02-11,2007-11-13,108.0
30,2007-05-06,2007-05-15,120.0
31,2006-06-10,2006-05-10,56.0
32,2006-02-06,2006-05-15,53.49
33,2005-10-31,2005-11-11,38.6
34,2005-09-06,2005-12-05,25.13
35,2004-11-10,2004-08-10,37.16
