,ds,y,"Капитализация, млрд руб",P/E
20,2015-06-30 23:59:59.999999999,105.5,0.0,0.00
24,2016-06-30 23:59:59.999999999,89.3,1351.0,15.1
26,2016-12-31 23:59:59.999999999,60.0,1602.0,10.7
28,2017-06-30 23:59:59.999999999,55.4,1277.0,11.1
30,2017-12-31 23:59:59.999999999,72.4,1717.0,13.4
32,2018-06-30 23:59:59.999999999,98.0,1804.0,10.6
34,2018-12-31 23:59:59.999999999,91.5,2063.0,10.9
36,2019-06-30 23:59:59.999999999,188.6,2264.0,8.09
38,2019-12-31 23:59:59.999999999,187.0,3023.0,8.05
40,2020-06-30 23:59:59.999999999,-4.24,2971.0,16.3
42,2020-12-31 23:59:59.999999999,249.6,3758.0,15.3
44,2021-06-30 23:59:59.999999999,299.0,3808.0,6.94
46,2021-12-31 23:59:59.999999999,179.6,3547.0,7.41
48,2022-06-30 23:59:59.999999999,378.4,2680.0,4.80
50,2022-12-31 23:59:59.999999999,23.4,2337.0,5.82
52,2023-06-30 23:59:59.999999999,82.2,2250.0,21.3
