,Корреляция,normalized_rmse,combined_score
"Персонал, чел",0.7741891761510922,0.9970398604967764,0.7718974681877991
"EV, млрд руб",0.9858459550960748,0.7808417086235231,0.769789640016808
P/BV,0.7551766248991753,0.9424862011795789,0.7117435484208395
"Наличность, млрд руб",0.765672981053473,0.7796482632736736,0.5969556099139167
"Див.выплата, млрд руб",0.7445842828195116,0.7789721482647513,0.5800104183520841
"Выручка, млрд руб",0.7593866610886005,0.7343976118548095,0.5576917503778658
"EBITDA, млрд руб",0.7679045466945835,0.5764775499609556,0.44267973168237174
"Число акций ао, млн",0.718182121647301,0.3614819779502898,0.259609893861602
"ROE, %",0.7187804844313322,0.0824801720454662,0.05928513801881983
"Доходность FCF, %",0.7416709424206862,0.0,0.0
