,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-12-21,0.0
1,,2024-12-17,422.49
2,,2024-05-06,802.56
3,2023-10-26,2023-12-17,447.0
4,2023-04-20,2023-05-06,438.0
5,2022-02-11,2022-12-21,256.0
6,2022-10-28,2022-12-21,537.0
7,2021-10-13,2021-12-21,340.0
8,2021-04-21,2021-05-07,213.0
9,2020-10-15,2020-12-18,46.0
10,2020-05-18,2020-10-07,350.0
11,2019-10-16,2019-12-20,192.0
12,2019-04-25,2019-09-07,155.0
13,2018-10-19,2018-12-21,95.0
14,2018-04-24,2018-11-07,130.0
15,2017-10-25,2017-12-22,85.0
16,2017-04-26,2017-10-07,120.0
17,2016-10-31,2016-12-23,75.0
18,2016-04-25,2016-12-07,112.0
19,2015-10-27,2015-12-24,65.0
20,2015-04-28,2015-07-14,94.0
21,2014-07-24,2014-12-26,60.0
22,2014-04-24,2014-07-15,60.0
23,2013-08-08,2013-08-15,50.0
24,2013-04-23,2013-05-13,50.0
25,2012-10-16,2012-12-11,40.0
26,2012-03-15,2012-11-05,75.0
27,2011-04-26,2011-06-05,59.0
28,2010-04-20,2010-07-05,52.0
29,2009-04-23,2009-08-05,50.0
30,2008-04-22,2008-08-05,42.0
31,2007-04-25,2007-11-05,38.0
32,2006-04-24,2006-11-05,33.0
33,2005-04-27,2005-12-05,28.0
34,2004-04-16,2004-07-05,24.0
35,2003-04-16,2003-12-05,19.5
36,2002-11-04,2002-08-05,15.0
37,2001-06-04,2001-05-14,8.0
38,2000-03-31,2000-04-24,3.0
