,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2000-06-30 23:59:59.999999999,220.41748608,-94.49070307275382,191.62325659885994,220.41748608,220.41748608,-170.05188481027233,-170.05188481027233,-170.05188481027233,-170.05188481027233,-170.05188481027233,-170.05188481027233,0.0,0.0,0.0,50.36560126972768
1,2001-06-30 23:59:59.999999999,239.9417111254525,-141.6105225161556,149.5198814765423,239.9417111254525,239.9417111254525,-240.42963968702662,-240.42963968702662,-240.42963968702662,-240.42963968702662,-240.42963968702662,-240.42963968702662,0.0,0.0,0.0,-0.48792856157410824
2,2002-09-30 23:59:59.999999999,264.3871106830727,-266.1344859933769,29.167757084434996,264.3871106830727,264.3871106830727,-382.3114136726256,-382.3114136726256,-382.3114136726256,-382.3114136726256,-382.3114136726256,-382.3114136726256,0.0,0.0,0.0,-117.92430298955287
3,2003-12-31 23:59:59.999999999,288.83251025318094,-198.4884505492045,90.2085936770571,288.83251025318094,288.83251025318094,-335.585265732405,-335.585265732405,-335.585265732405,-335.585265732405,-335.585265732405,-335.585265732405,0.0,0.0,0.0,-46.75275547922405
4,2004-09-30 23:59:59.999999999,303.4890517897448,-162.91504447897623,125.7544912242906,303.4890517897448,303.4890517897448,-320.9779386239753,-320.9779386239753,-320.9779386239753,-320.9779386239753,-320.9779386239753,-320.9779386239753,0.0,0.0,0.0,-17.488886834230527
5,2005-12-31 23:59:59.999999999,327.93445138911994,-211.6110623581786,75.60352798421079,327.93445138911994,327.93445138911994,-401.8723594776794,-401.8723594776794,-401.8723594776794,-401.8723594776794,-401.8723594776794,-401.8723594776794,0.0,0.0,0.0,-73.93790808855948
6,2006-12-31 23:59:59.999999999,347.4586764520044,-162.42625988914943,120.69664521836893,347.4586764520044,347.4586764520044,-368.7201027057193,-368.7201027057193,-368.7201027057193,-368.7201027057193,-368.7201027057193,-368.7201027057193,0.0,0.0,0.0,-21.261426253714887
7,2007-12-31 23:59:59.999999999,366.9829015107909,-99.53657903330432,186.24492897002733,366.9829015107909,366.9829015107909,-335.58526573241295,-335.58526573241295,-335.58526573241295,-335.58526573241295,-335.58526573241295,-335.58526573241295,0.0,0.0,0.0,31.397635778377946
8,2008-09-30 23:59:59.999999999,381.639443049645,-77.24353354186633,203.14557865710063,381.639443049645,381.639443049645,-320.97793862379103,-320.97793862379103,-320.97793862379103,-320.97793862379103,-320.97793862379103,-320.97793862379103,0.0,0.0,0.0,60.66150442585399
9,2009-09-30 23:59:59.999999999,401.1636681088568,-86.75822812473933,186.21820985697696,401.1636681088568,401.1636681088568,-350.5470591609168,-350.5470591609168,-350.5470591609168,-350.5470591609168,-350.5470591609168,-350.5470591609168,0.0,0.0,0.0,50.61660894794005
