,ds,y,"Капитализация, млрд руб",P/E
19,2015-03-31 23:59:59.999999999,104.0,2301.0,22.1
20,2015-06-30 23:59:59.999999999,100.0,2101.0,10.3
21,2015-09-30 23:59:59.999999999,188.4,1908.0,4.86
22,2015-12-31 23:59:59.999999999,-106.0,1995.0,6.97
23,2016-03-31 23:59:59.999999999,42.8,2230.0,9.90
24,2016-06-30 23:59:59.999999999,86.0,2283.0,10.8
25,2016-09-30 23:59:59.999999999,63.0,2610.0,30.4
26,2016-12-31 23:59:59.999999999,112.0,2934.0,9.66
27,2017-03-31 23:59:59.999999999,62.3,2536.0,7.84
28,2017-06-30 23:59:59.999999999,79.0,2443.0,7.72
29,2017-09-30 23:59:59.999999999,103.7,2606.0,7.30
30,2017-12-31 23:59:59.999999999,154.4,2836.0,7.10
31,2018-03-31 23:59:59.999999999,109.1,3369.0,7.55
32,2018-06-30 23:59:59.999999999,167.3,3263.0,6.10
33,2018-09-30 23:59:59.999999999,183.8,3767.0,6.13
34,2018-12-31 23:59:59.999999999,159.0,3748.0,6.05
35,2019-03-31 23:59:59.999999999,149.2,4421.0,6.70
36,2019-06-30 23:59:59.999999999,181.8,3979.0,5.90
37,2019-09-30 23:59:59.999999999,190.9,3852.0,5.66
38,2019-12-31 23:59:59.999999999,118.3,4028.0,6.29
39,2020-03-31 23:59:59.999999999,-46.0,3052.0,6.86
40,2020-06-30 23:59:59.999999999,-18.7,3464.0,14.2
41,2020-09-30 23:59:59.999999999,50.4,2938.0,28.2
42,2020-12-31 23:59:59.999999999,29.5,3382.0,222.5
43,2021-03-31 23:59:59.999999999,157.0,3988.0,18.3
44,2021-06-30 23:59:59.999999999,190.0,4420.0,10.4
45,2021-09-30 23:59:59.999999999,193.0,4515.0,7.93
46,2021-12-31 23:59:59.999999999,233.4,4265.0,5.51
51,2023-03-31 23:59:59.999999999,302.5,3005.0,9.93
52,2023-06-30 23:59:59.999999999,261.8,3524.0,6.25
