,Корреляция,normalized_rmse,combined_score
"Активы, млрд руб",0.7975717075946681,0.9786103644500108,0.7805119394442356
"Чистые активы, млрд руб",0.8398883708916035,0.8651309733117498,0.7266134437826729
"EV, млрд руб",0.9985908177524168,0.695006156105157,0.6940267657680126
"Добыча газа, млрд м3",0.8701930176232218,0.7378946731180103,0.6421107922886622
"CAPEX, млрд руб",0.7098087431787883,0.8814224237118206,0.6256413427844888
"Рентаб EBITDA, %",0.8909530686978763,0.6839326500366354,0.609351893332811
"EBITDA, млрд руб",0.6899003803797915,0.7389350862724199,0.5097915970953165
"Опер. расходы, млрд руб",0.6564336566356819,0.5845218111704,0.3836997898898972
"BV/акцию, руб",0.6882115785374191,0.162628916955477,0.11192310365375965
"Баланс стоимость, млрд руб",0.7069192349411844,0.0,0.0
