,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-10-10,60.48
1,,2024-03-26,44.09
2,2023-08-25,2023-10-10,34.5
3,2023-03-17,2023-03-05,60.58
4,2022-08-25,2022-09-10,45.0
5,2022-03-18,2022-05-05,43.77
6,2021-08-30,2021-11-10,27.67
7,2021-03-19,2021-07-05,23.74
8,2020-08-25,2020-12-10,11.82
9,2020-03-23,2020-08-05,18.1
10,2019-08-23,2019-10-10,14.23
11,2019-03-19,2019-06-05,16.81
12,2018-08-24,2018-10-10,9.25
13,2018-03-13,2018-03-05,8.0
14,2017-08-25,2017-10-10,6.95
15,2017-03-14,2017-02-05,7.0
16,2016-08-29,2016-11-10,6.9
17,2016-03-16,2016-04-05,6.9
18,2015-08-24,2015-06-10,6.6
19,2015-12-03,2015-05-05,5.2
20,2014-01-09,2014-10-27,5.1
21,2014-04-03,2014-04-29,4.49
22,2013-08-29,2013-09-16,3.4
23,2013-03-19,2013-03-21,3.86
24,2012-08-31,2012-10-09,3.0
25,2012-03-20,2012-03-23,3.5
26,2011-08-22,2011-08-09,2.5
27,2011-03-24,2011-03-22,2.5
28,2010-02-09,2010-09-09,1.5
29,2010-03-25,2010-03-22,1.75
30,2009-08-31,2009-09-09,1.0
31,2009-07-04,2009-04-20,1.52
32,2008-02-09,2008-07-24,1.0
33,2008-04-21,2008-10-04,1.52
34,2007-08-28,2007-03-09,0.83
35,2007-04-17,2007-05-04,1.1
36,2006-08-08,2006-07-31,0.00055
37,2006-04-24,2006-04-21,0.523
38,2005-01-11,2005-10-31,0.377
39,2005-11-05,2005-04-25,0.256
40,2004-10-14,2004-11-10,0.6428
41,2004-05-14,2004-04-25,0.2515
