,ds,y,"Капитализация, млрд руб",P/E
17,2015-03-31 23:59:59.999999999,31.1,1312.0,42.2
18,2015-06-30 23:59:59.999999999,41.9,1694.0,23.2
19,2015-09-30 23:59:59.999999999,-12.4,1813.0,29.9
20,2015-12-31 23:59:59.999999999,13.8,1794.0,24.1
21,2016-03-31 23:59:59.999999999,36.9,1816.0,22.6
22,2016-06-30 23:59:59.999999999,29.6,1964.0,28.9
23,2016-09-30 23:59:59.999999999,31.2,2071.0,18.6
24,2016-12-31 23:59:59.999999999,34.8,2405.0,18.1
25,2017-03-31 23:59:59.999999999,44.3,2141.0,15.3
26,2017-06-30 23:59:59.999999999,33.8,1958.0,13.6
27,2017-09-30 23:59:59.999999999,34.9,2016.0,13.6
28,2017-12-31 23:59:59.999999999,43.6,2058.0,13.1
29,2018-03-31 23:59:59.999999999,46.9,2240.0,14.1
30,2018-06-30 23:59:59.999999999,54.3,2589.0,14.4
31,2018-09-30 23:59:59.999999999,65.5,3547.0,16.9
32,2018-12-31 23:59:59.999999999,66.2,3437.0,14.8
33,2019-03-31 23:59:59.999999999,65.7,3274.0,13.0
34,2019-06-30 23:59:59.999999999,64.3,4061.0,15.5
35,2019-09-30 23:59:59.999999999,48.5,3985.0,16.3
36,2019-12-31 23:59:59.999999999,66.4,3832.0,15.6
37,2020-03-31 23:59:59.999999999,53.5,2761.0,11.9
38,2020-06-30 23:59:59.999999999,21.2,3085.0,16.3
39,2020-09-30 23:59:59.999999999,35.7,3242.0,18.3
40,2020-12-31 23:59:59.999999999,58.6,3837.0,22.7
41,2021-03-31 23:59:59.999999999,75.8,4525.0,23.7
42,2021-06-30 23:59:59.999999999,89.0,4876.0,18.8
43,2021-09-30 23:59:59.999999999,104.9,5837.0,17.8
44,2021-12-31 23:59:59.999999999,151.6,5222.0,12.4
49,2023-03-31 23:59:59.999999999,92.9,3495.0,37.6
50,2023-06-30 23:59:59.999999999,62.7,4051.0,26.0
52,2023-12-31 23:59:59.999999999,307.4,4460.0,9.63
