,Корреляция,normalized_rmse,combined_score
"EV, млрд руб",0.9929121194166566,0.8674766875439405,0.8613281163737947
"Рентаб EBITDA, %",0.8721741718865111,0.9676854358211672,0.8439902436339641
"Ср.цена продажи золота, $/унц",0.9407143869185417,0.7541617639139817,0.7094508213777473
"EBITDA, млрд руб",0.7196363452625928,0.9746653922032402,0.7014046406990714
"Расх на персонал, млрд руб",0.7004222470056843,0.9470530073144551,0.6633369954166815
"Выручка, млрд руб",0.6480043461589626,0.9838378863165107,0.6375312262489463
"FCF/акцию, руб",0.8173679460315375,0.7423199800986513,0.6067485574314064
"BV/акцию, руб",0.5966575507668596,0.927016576111473,0.5531114398229515
"Доходность FCF, %",0.6980263075337879,0.7155341584494058,0.49946166653673507
"FCF, млрд руб",0.7718645079415709,0.0,0.0
