,ds,y,"Капитализация, млрд руб",P/E
6,2015-09-30 23:59:59.999999999,18.0,0.0,0.00
8,2016-03-31 23:59:59.999999999,21.6,725.0,18.3
9,2016-06-30 23:59:59.999999999,13.1,612.3,11.6
10,2016-09-30 23:59:59.999999999,19.1,584.8,10.9
11,2016-12-31 23:59:59.999999999,34.9,577.8,6.51
12,2017-03-31 23:59:59.999999999,29.5,580.2,6.01
13,2017-06-30 23:59:59.999999999,5.8,498.8,5.59
14,2017-09-30 23:59:59.999999999,21.9,594.3,6.46
15,2017-12-31 23:59:59.999999999,15.8,613.7,8.41
16,2018-03-31 23:59:59.999999999,14.0,603.7,10.5
17,2018-06-30 23:59:59.999999999,7.59,561.8,9.48
18,2018-09-30 23:59:59.999999999,9.1,551.3,11.9
19,2018-12-31 23:59:59.999999999,-2.47,721.1,25.6
20,2019-03-31 23:59:59.999999999,35.1,726.2,14.7
21,2019-06-30 23:59:59.999999999,26.6,778.4,11.4
22,2019-09-30 23:59:59.999999999,18.2,1008.0,13.0
23,2019-12-31 23:59:59.999999999,44.3,948.8,7.64
24,2020-03-31 23:59:59.999999999,23.0,1430.0,12.8
25,2020-06-30 23:59:59.999999999,49.4,1607.0,11.9
26,2020-09-30 23:59:59.999999999,35.8,2179.0,14.3
27,2020-12-31 23:59:59.999999999,11.0,2038.0,17.1
28,2021-03-31 23:59:59.999999999,33.6,1862.0,14.3
29,2021-06-30 23:59:59.999999999,47.5,1886.0,14.7
30,2021-09-30 23:59:59.999999999,48.2,1598.0,11.4
31,2021-12-31 23:59:59.999999999,37.6,1740.0,10.4
32,2022-06-30 23:59:59.999999999,101.0,1187.0,6.36
33,2022-12-31 23:59:59.999999999,10.8,1025.0,9.17
35,2023-06-30 23:59:59.999999999,42.5,1437.0,27.0
