,Объяв. див.,Закр. реестра,Дивиденд
0,,2025-11-01,32.16
1,,2024-11-07,29.01
2,2023-11-15,2024-11-01,30.77
3,2023-05-30,2023-11-07,17.97
4,2022-11-14,2023-12-01,20.39
5,2022-05-30,2022-11-07,23.63
6,2021-08-24,2021-11-10,18.03
7,2021-04-23,2021-06-15,6.94
8,2020-04-23,2020-06-15,18.07
9,2019-08-21,2019-11-10,15.34
10,2019-04-16,2019-06-17,11.33
11,2018-08-24,2018-09-10,14.58
12,2018-04-25,2018-02-07,6.65
13,2017-08-31,2017-10-10,3.83
14,2017-04-24,2017-03-07,5.98
15,2016-04-25,2016-06-27,11.75
16,2015-04-23,2015-06-29,8.21
17,2014-04-29,2014-08-07,12.85
18,2013-05-03,2013-06-05,8.05
19,2012-09-14,2012-09-21,4.08
20,2012-07-03,2012-04-05,3.45
21,2011-03-29,2011-04-21,2.76
22,2010-04-27,2010-04-29,2.3
23,2009-04-29,2009-04-30,1.92
24,2008-03-24,2008-04-16,1.6
25,2007-05-23,2007-05-23,1.33
