,ds,y,"Капитализация, млрд руб",P/E
8,2015-06-30 23:59:59.999999999,134.0,2459.0,18.3
9,2015-09-30 23:59:59.999999999,113.0,2575.0,10.4
10,2015-12-31 23:59:59.999999999,53.0,2681.0,8.94
11,2016-03-31 23:59:59.999999999,14.0,3232.0,10.3
12,2016-06-30 23:59:59.999999999,89.0,3497.0,13.0
13,2016-09-30 23:59:59.999999999,26.0,3635.0,20.0
14,2016-12-31 23:59:59.999999999,52.0,4269.0,23.6
15,2017-03-31 23:59:59.999999999,13.0,3428.0,19.0
16,2017-06-30 23:59:59.999999999,68.0,3423.0,21.5
17,2017-09-30 23:59:59.999999999,47.0,3381.0,18.8
18,2017-12-31 23:59:59.999999999,255.0,3089.0,8.07
19,2018-03-31 23:59:59.999999999,123.0,3327.0,6.75
20,2018-06-30 23:59:59.999999999,257.0,4198.0,6.16
21,2018-09-30 23:59:59.999999999,267.0,5225.0,5.79
22,2018-12-31 23:59:59.999999999,185.0,4584.0,5.51
23,2019-03-31 23:59:59.999999999,242.0,4366.0,4.59
24,2019-06-30 23:59:59.999999999,230.0,4393.0,4.75
25,2019-09-30 23:59:59.999999999,262.0,4444.0,4.84
26,2019-12-31 23:59:59.999999999,184.0,4766.0,5.19
27,2020-03-31 23:59:59.999999999,34.0,3352.0,4.72
28,2020-06-30 23:59:59.999999999,-56.0,3831.0,9.04
29,2020-09-30 23:59:59.999999999,108.0,4074.0,15.1
30,2020-12-31 23:59:59.999999999,85.0,4633.0,27.1
31,2021-03-31 23:59:59.999999999,179.0,6073.0,19.2
32,2021-06-30 23:59:59.999999999,265.0,6050.0,9.50
33,2021-09-30 23:59:59.999999999,334.0,5848.0,6.78
34,2021-12-31 23:59:59.999999999,279.0,6338.0,6.00
35,2022-03-31 23:59:59.999999999,216.0,4637.0,4.24
36,2022-06-30 23:59:59.999999999,216.0,3847.0,3.68
37,2022-09-30 23:59:59.999999999,159.0,2767.0,3.18
38,2022-12-31 23:59:59.999999999,222.0,3856.0,4.74
39,2023-03-31 23:59:59.999999999,323.0,4029.0,3.55
40,2023-06-30 23:59:59.999999999,329.0,5111.0,4.95
41,2023-09-30 23:59:59.999999999,419.0,5682.0,4.39
42,2023-12-31 23:59:59.999999999,196.0,5834.0,4.60
