,Корреляция,normalized_rmse,combined_score
"EV, млрд руб",0.9204643148254992,0.8610003129255682,0.7925200631015735
"Чист. комисс. доход, млрд руб",0.8130116042215753,0.9641499162697348,0.7838650701365545
"EPS, руб",0.8678204453901593,0.8163818163498995,0.7084728314731971
"Чистая прибыль, млрд руб",0.781624420900384,0.8999078696470136,0.7033899674765453
"Чистый операц доход, млрд руб",0.7115469885984725,0.9220460723187788,0.6560791061074764
"ROE, %",0.7412899551684392,0.8760252211267742,0.6493886968954885
"Рентабельность банка, %",0.7302570476435857,0.8769503622542646,0.6403991824697722
"Капитал, млрд руб",0.7787413946434152,0.7158972969715508,0.5574988594650766
"Расх на персонал, млрд руб",0.8721402105871073,0.23153468014588585,0.20193070470065141
"Дост.осн капитала, %",0.7895440877057135,0.0,0.0
