,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-11-05,40.44
1,2023-03-17,2023-11-05,25.0
2,2021-03-19,2021-12-05,18.7
3,2020-03-18,2020-05-10,18.7
4,2019-04-16,2019-06-13,16.0
5,2018-04-18,2018-06-26,12.0
6,2017-04-20,2017-06-14,6.0
7,2016-12-04,2016-06-14,1.97
8,2015-04-17,2015-06-15,0.45
9,2014-11-04,2014-06-17,3.2
10,2013-03-22,2013-11-04,2.57
11,2012-03-16,2012-12-04,2.08
12,2011-03-21,2011-04-15,0.92
13,2010-03-19,2010-04-16,0.08
14,2009-05-15,2009-08-05,0.48
15,2008-05-19,2008-08-05,0.51
16,2007-05-21,2007-12-05,0.3855
17,2006-02-16,2006-04-28,0.2644
18,2005-05-19,2005-07-05,0.1728
19,2004-05-20,2004-01-05,0.1337
20,2003-05-27,2003-10-05,0.1083
21,2002-04-26,2002-06-05,0.0525
22,2001-06-27,2001-08-06,0.0378
23,2000-06-30,2000-12-06,0.0328
