,ds,y,"Капитализация, млрд руб",P/E
9,2014-12-31 23:59:59.999999999,49.0,1223.0,25.0
10,2015-03-31 23:59:59.999999999,30.6,0.0,0.00
11,2015-06-30 23:59:59.999999999,152.1,0.0,0.00
12,2015-09-30 23:59:59.999999999,65.1,1683.0,5.67
13,2015-12-31 23:59:59.999999999,72.6,2263.0,7.06
14,2016-03-31 23:59:59.999999999,117.7,2451.0,6.02
15,2016-06-30 23:59:59.999999999,145.4,2961.0,7.39
16,2016-09-30 23:59:59.999999999,137.0,3243.0,6.86
17,2016-12-31 23:59:59.999999999,141.8,3870.0,7.14
18,2017-03-31 23:59:59.999999999,166.6,3575.0,6.05
19,2017-06-30 23:59:59.999999999,185.6,3263.0,5.17
20,2017-09-30 23:59:59.999999999,224.1,4308.0,6.00
21,2017-12-31 23:59:59.999999999,172.4,5046.0,6.74
22,2018-03-31 23:59:59.999999999,212.1,5688.0,7.16
23,2018-06-30 23:59:59.999999999,215.3,4892.0,5.94
24,2018-09-30 23:59:59.999999999,228.1,4560.0,5.51
25,2018-12-31 23:59:59.999999999,176.2,4188.0,5.04
26,2019-03-31 23:59:59.999999999,226.6,4817.0,5.69
27,2019-06-30 23:59:59.999999999,250.3,5355.0,6.08
28,2019-09-30 23:59:59.999999999,156.1,5117.0,6.32
29,2019-12-31 23:59:59.999999999,212.0,5728.0,6.78
30,2020-03-31 23:59:59.999999999,120.5,4212.0,5.70
31,2020-06-30 23:59:59.999999999,166.7,4586.0,7.00
32,2020-09-30 23:59:59.999999999,271.4,5153.0,6.69
33,2020-12-31 23:59:59.999999999,202.4,6091.0,8.00
34,2021-03-31 23:59:59.999999999,304.8,6552.0,6.93
35,2021-06-30 23:59:59.999999999,325.0,6859.0,6.21
36,2021-09-30 23:59:59.999999999,348.3,7661.0,6.49
37,2021-12-31 23:59:59.999999999,272.6,6606.0,5.28
39,2023-03-31 23:59:59.999999999,357.2,4861.0,13.6
40,2023-06-30 23:59:59.999999999,380.3,5417.0,7.34
41,2023-09-30 23:59:59.999999999,411.4,5890.0,5.13
