,Корреляция,normalized_rmse,combined_score
"Операционный денежный поток, млрд руб",0.7887770524977815,0.8375690632724826,0.6606552569913967
"Выручка, млрд руб",0.8811991955659813,0.6866111555436447,0.6050411979316885
"Активы, млрд руб",0.9020583962422365,0.6357723463749888,0.5735037831461861
"Опер. расходы, млрд руб",0.8166832052080923,0.5386834194842195,0.4399337016168277
"CAPEX, млрд руб",0.694202764843031,0.5888104578252672,0.4087538477907914
"Наличность, млрд руб",0.830078562407345,0.4064744803698248,0.3374057523206568
"EV, млрд руб",0.9376892942108959,0.24032752407382318,0.22535254642823535
"Чистые активы, млрд руб",0.9392365304817089,0.16922817049117012,0.15894527971189373
"EBITDA, млрд руб",0.7395303524676327,0.028669221823751312,0.021201759720291553
P/BV,0.8296164706060353,0.0,0.0
