,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-12-27,65.31
1,,2024-10-07,20.08
2,2023-09-11,2023-12-27,82.94
3,2023-05-23,2023-10-07,12.16
4,2022-11-16,2022-12-30,69.78
5,2022-05-18,2022-08-07,16.0
6,2021-11-15,2021-12-28,40.0
7,2021-11-05,2021-06-25,10.0
8,2020-11-17,2020-12-29,5.0
9,2020-04-28,2020-06-26,19.82
10,2019-02-10,2019-10-18,18.14
11,2019-04-22,2019-01-07,7.95
12,2018-11-13,2018-12-28,22.05
13,2018-04-23,2018-06-26,5.0
14,2017-09-11,2017-12-29,10.0
15,2017-04-21,2017-06-26,10.68
16,2016-04-18,2016-06-27,0.55
17,2015-08-13,2015-10-16,5.92
18,2015-01-04,2015-06-22,1.85
19,2014-12-08,2014-10-17,4.62
20,2014-03-31,2014-06-23,5.29
21,2013-08-22,2013-08-25,4.09
22,2013-04-15,2013-04-23,9.3
23,2012-09-04,2012-04-24,7.3
24,2011-04-15,2011-04-25,4.44
25,2010-05-18,2010-05-14,3.57
26,2009-05-14,2009-05-15,5.4
27,2008-04-29,2008-05-15,5.4
28,2007-05-22,2007-05-18,8.08
29,2006-05-23,2006-05-05,7.9
30,2005-05-26,2005-07-27,13.91
31,2003-10-21,2003-09-30,1.46
32,2003-07-25,2003-07-31,6.44
33,2001-10-30,2001-02-11,2.32
34,2001-08-17,2001-03-08,3.79
35,2000-11-10,2000-09-30,0.3
