,ds,y,"Капитализация, млрд руб",P/E
7,2015-06-30 23:59:59.999999999,73.2,644.8,8.81
8,2015-09-30 23:59:59.999999999,18.5,692.2,7.54
9,2015-12-31 23:59:59.999999999,-21.2,678.0,9.61
10,2016-03-31 23:59:59.999999999,41.5,711.2,6.35
11,2016-06-30 23:59:59.999999999,48.9,763.3,8.70
12,2016-09-30 23:59:59.999999999,57.1,839.2,6.65
13,2016-12-31 23:59:59.999999999,52.7,1015.0,5.07
14,2017-03-31 23:59:59.999999999,62.0,965.8,4.38
15,2017-06-30 23:59:59.999999999,49.3,858.2,3.88
16,2017-09-30 23:59:59.999999999,77.7,1076.0,4.45
17,2017-12-31 23:59:59.999999999,64.0,1157.0,4.57
18,2018-03-31 23:59:59.999999999,69.7,1403.0,5.38
19,2018-06-30 23:59:59.999999999,96.8,1536.0,4.98
20,2018-09-30 23:59:59.999999999,132.2,1758.0,4.85
21,2018-12-31 23:59:59.999999999,79.0,1644.0,4.35
22,2019-03-31 23:59:59.999999999,107.9,1537.0,3.70
23,2019-06-30 23:59:59.999999999,107.1,1901.0,4.46
24,2019-09-30 23:59:59.999999999,104.9,2009.0,5.04
25,2019-12-31 23:59:59.999999999,80.0,1992.0,4.98
26,2020-03-31 23:59:59.999999999,-13.8,1434.0,5.15
27,2020-06-30 23:59:59.999999999,22.0,1566.0,8.10
28,2020-09-30 23:59:59.999999999,28.0,1391.0,12.0
29,2020-12-31 23:59:59.999999999,81.8,1504.0,12.7
30,2021-03-31 23:59:59.999999999,84.2,1758.0,8.14
31,2021-06-30 23:59:59.999999999,133.0,2058.0,6.29
32,2021-09-30 23:59:59.999999999,140.0,2239.0,5.10
33,2021-12-31 23:59:59.999999999,146.5,2575.0,5.11
34,2022-03-31 23:59:59.999999999,264.5,2124.0,3.10
35,2022-06-30 23:59:59.999999999,243.8,1879.0,2.36
38,2023-03-31 23:59:59.999999999,164.3,2245.0,5.50
39,2023-06-30 23:59:59.999999999,140.1,2504.0,8.23
