,ds,y
0,2015-01-05 10:00:00,225.9
1,2015-01-05 11:00:00,228.0
2,2015-01-05 12:00:00,233.55
3,2015-01-05 13:00:00,232.1
4,2015-01-05 14:00:00,233.15
5,2015-01-05 15:00:00,232.65
6,2015-01-05 16:00:00,233.7
7,2015-01-05 17:00:00,230.75
8,2015-01-05 18:00:00,235.0
9,2015-01-06 10:00:00,242.85
10,2015-01-06 11:00:00,240.5
11,2015-01-06 12:00:00,236.35
12,2015-01-06 13:00:00,235.35
13,2015-01-06 14:00:00,235.0
14,2015-01-06 15:00:00,230.45
15,2015-01-06 16:00:00,228.95
16,2015-01-06 17:00:00,229.75
17,2015-01-06 18:00:00,228.7
18,2015-01-08 10:00:00,234.35
19,2015-01-08 11:00:00,234.75
20,2015-01-08 12:00:00,231.7
21,2015-01-08 13:00:00,234.0
22,2015-01-08 14:00:00,242.0
23,2015-01-08 15:00:00,245.4
24,2015-01-08 16:00:00,245.6
25,2015-01-08 17:00:00,249.05
26,2015-01-08 18:00:00,245.1
27,2015-01-09 10:00:00,243.0
28,2015-01-09 11:00:00,234.35
29,2015-01-09 12:00:00,239.0
30,2015-01-09 13:00:00,232.15
31,2015-01-09 14:00:00,232.75
32,2015-01-09 15:00:00,231.1
33,2015-01-09 16:00:00,232.0
34,2015-01-09 17:00:00,233.15
35,2015-01-09 18:00:00,235.8
36,2015-01-12 10:00:00,235.95
37,2015-01-12 11:00:00,232.6
38,2015-01-12 12:00:00,231.65
39,2015-01-12 13:00:00,229.7
40,2015-01-12 14:00:00,229.3
41,2015-01-12 15:00:00,230.5
42,2015-01-12 16:00:00,229.0
43,2015-01-12 17:00:00,226.5
44,2015-01-12 18:00:00,229.0
45,2015-01-13 10:00:00,228.4
46,2015-01-13 11:00:00,227.4
47,2015-01-13 12:00:00,228.6
48,2015-01-13 13:00:00,228.7
49,2015-01-13 14:00:00,230.25
50,2015-01-13 15:00:00,231.3
51,2015-01-13 16:00:00,234.6
52,2015-01-13 17:00:00,236.9
53,2015-01-13 18:00:00,234.7
54,2015-01-14 10:00:00,234.65
55,2015-01-14 11:00:00,233.3
