,Корреляция,normalized_rmse,combined_score
"Чистый долг, млрд руб",0.4040698253440706,1.5994529022986763,0.646290654877893
"Чистые активы, млрд руб",0.4038023467816101,0.9440773778281116,0.38122066071042027
P/S,0.47278168143570054,0.7839955744254115,0.3706587459149939
"Рентаб EBITDA, %",0.4268692330911871,0.7612812040449846,0.32496752373741805
"Наличность, млрд руб",0.3487297262459744,0.915249916673513,0.3191748528882051
"Опер. расходы, млрд руб",0.3856863323215387,0.7253479112577477,0.27975677555008965
"Див доход, ап, %",0.3124041678119836,0.6089940130536526,0.19025226785050664
"Див доход, ао, %",0.327616897657056,0.5322282951832491,0.1743669829132399
"BV/акцию, руб",0.4873872563005311,0.000558378768597434,0.0002721466960031725
"Баланс стоимость, млрд руб",0.48737004446391313,0.0,0.0
