,Объяв. див.,Закр. реестра,Дивиденд
0,,2024-07-20,0.8
1,2023-05-18,2023-07-20,0.8
2,2022-05-19,2022-07-20,0.8
3,2021-05-19,2021-07-20,0.7
4,2020-05-20,2020-07-20,0.65
5,2019-05-17,2019-07-18,0.65
6,2018-05-18,2018-07-19,0.65
7,2017-05-15,2017-07-19,0.6
8,2016-05-17,2016-07-18,0.6
9,2015-05-15,2015-07-16,0.65
10,2014-05-16,2014-07-16,0.6
11,2013-04-23,2013-05-14,0.5
12,2012-05-18,2012-05-14,0.6
13,2011-01-04,2011-05-13,0.5
14,2010-04-30,2010-05-14,0.45
15,2009-05-19,2009-05-15,0.6
16,2008-03-17,2008-03-14,0.6
17,2007-03-04,2007-03-17,0.53
18,2006-05-04,2006-03-20,0.8
19,2005-03-25,2005-03-25,0.4
20,2004-02-27,2004-02-02,0.14
21,2003-03-28,2003-01-31,0.032
22,2002-02-27,2002-12-02,0.033
23,2001-04-04,2001-03-16,0.041
24,2000-05-24,2000-05-13,0.02
