,ds,y,"Капитализация, млрд руб",P/E
7,2015-06-30 23:59:59.999999999,133.6,0.0,0.00
9,2016-06-30 23:59:59.999999999,-105.0,1482.0,-14.1
11,2017-06-30 23:59:59.999999999,89.0,1137.0,12.8
12,2017-12-31 23:59:59.999999999,105.7,1213.0,6.23
13,2018-06-30 23:59:59.999999999,390.0,1261.0,2.54
14,2018-12-31 23:59:59.999999999,460.0,1264.0,1.49
15,2019-06-30 23:59:59.999999999,-15.5,1269.0,2.86
16,2019-12-31 23:59:59.999999999,121.5,2094.0,19.8
17,2020-06-30 23:59:59.999999999,438.8,1647.0,2.94
18,2020-12-31 23:59:59.999999999,304.2,1607.0,2.16
19,2021-06-30 23:59:59.999999999,153.0,1668.0,3.65
23,2023-06-30 23:59:59.999999999,841.9,1337.0,1.59
