,Корреляция,normalized_rmse,combined_score
P/BV,0.9167223555186305,0.7207416100436554,0.66071994647951
"Операционный денежный поток, млрд руб",0.7857867058141766,0.8378643448002507,0.6583826634197425
"EV, млрд руб",0.9917161416434275,0.5738236866085702,0.5690702124670586
"Амортизация, млрд руб",0.6297357668110352,0.835269819212214,0.5259992800957183
"Операционная прибыль, млрд руб",0.6131234198599639,0.8056878355325772,0.4939860810613058
"Баланс стоимость, млрд руб",0.6052586260426525,0.716816715651262,0.43385950043948956
"BV/акцию, руб",0.6053067798118179,0.7163916852879876,0.433636744105633
"ROE, %",0.7823493813300589,0.533640852128655,0.41749359051529866
"ROA, %",0.5964238361622682,0.5713616321517493,0.3407736964838811
"Долг, млрд руб",0.6714752501543494,0.0,0.0
