,Объяв. див.,Закр. реестра,Дивиденд
0,,2025-09-01,14.3
1,,2024-11-10,31.1
2,,2024-11-07,28.57
3,2023-11-21,2024-09-01,35.17
4,2023-08-15,2023-11-10,27.54
5,2023-04-27,2023-11-07,27.71
6,2022-11-16,2023-10-01,6.86
7,2022-08-16,2022-11-10,32.71
8,2022-05-23,2022-08-07,16.14
9,2021-11-23,2022-10-01,9.98
10,2021-08-26,2021-12-10,16.52
11,2021-04-28,2021-09-07,12.3
12,2020-08-18,2020-12-10,9.94
13,2019-11-14,2019-12-30,24.36
14,2019-06-08,2019-09-27,40.11
15,2019-04-26,2019-05-07,32.38
16,2018-11-13,2019-09-01,22.26
17,2018-08-14,2018-12-10,30.27
18,2018-04-24,2018-06-07,12.16
19,2017-07-11,2017-12-23,27.78
20,2017-04-27,2017-07-07,22.81
21,2016-04-26,2016-08-07,10.96
22,2015-04-27,2015-07-15,10.58
23,2014-04-28,2014-07-16,8.23
24,2013-04-29,2013-05-13,8.6
25,2012-03-04,2012-05-14,7.08
26,2011-02-28,2011-06-05,5.02
27,2010-04-30,2010-01-02,6.56
28,2009-04-28,2009-12-05,4.42
29,2008-04-28,2008-12-05,5.65
30,2007-02-05,2007-05-14,4.6
31,2006-01-31,2006-05-15,1.0
32,2005-04-28,2005-12-05,0.23
33,2004-09-28,2004-01-10,0.67
34,2004-07-05,2004-10-05,0.3
