,ds,y,"Капитализация, млрд руб",P/E
8,2015-06-30 23:59:59.999999999,29.5,667.9,22.7
9,2015-09-30 23:59:59.999999999,23.3,696.4,13.2
11,2016-03-31 23:59:59.999999999,17.6,816.5,11.6
12,2016-06-30 23:59:59.999999999,30.9,748.3,10.4
13,2016-09-30 23:59:59.999999999,26.7,724.6,9.64
14,2016-12-31 23:59:59.999999999,32.2,965.0,8.99
15,2017-03-31 23:59:59.999999999,35.6,787.5,6.28
16,2017-06-30 23:59:59.999999999,26.2,858.6,7.12
17,2017-09-30 23:59:59.999999999,27.1,938.6,7.76
18,2017-12-31 23:59:59.999999999,34.3,1097.0,8.91
19,2018-03-31 23:59:59.999999999,41.9,1394.0,10.8
20,2018-06-30 23:59:59.999999999,63.2,1541.0,9.26
21,2018-09-30 23:59:59.999999999,68.9,1905.0,9.14
22,2018-12-31 23:59:59.999999999,38.0,1685.0,7.95
23,2019-03-31 23:59:59.999999999,60.2,1727.0,7.50
24,2019-06-30 23:59:59.999999999,54.3,1782.0,8.05
25,2019-09-30 23:59:59.999999999,58.4,1590.0,7.54
26,2019-12-31 23:59:59.999999999,19.4,1763.0,9.17
27,2020-03-31 23:59:59.999999999,25.3,1277.0,8.12
28,2020-06-30 23:59:59.999999999,17.6,1291.0,10.7
29,2020-09-30 23:59:59.999999999,35.8,1076.0,11.0
30,2020-12-31 23:59:59.999999999,24.9,1191.0,11.5
31,2021-03-31 23:59:59.999999999,43.6,1382.0,11.3
32,2021-06-30 23:59:59.999999999,48.6,1232.0,8.06
33,2021-09-30 23:59:59.999999999,52.1,1224.0,7.23
34,2021-12-31 23:59:59.999999999,54.1,1156.0,5.83
35,2022-06-30 23:59:59.999999999,139.3,1007.0,4.10
37,2022-12-31 23:59:59.999999999,145.7,809.3,2.84
38,2023-06-30 23:59:59.999999999,147.7,1179.0,4.02
