,ds,y
0,2011-11-17 10:00:00,80.1
1,2011-11-17 11:00:00,79.84
2,2011-11-17 12:00:00,79.56
3,2011-11-17 13:00:00,79.13
4,2011-11-17 14:00:00,78.81
5,2011-11-17 15:00:00,78.65
6,2011-11-17 16:00:00,79.85
7,2011-11-17 17:00:00,80.5
8,2011-11-17 18:00:00,80.45
9,2011-11-18 10:00:00,78.9
10,2011-11-18 11:00:00,79.39
11,2011-11-18 12:00:00,79.07
12,2011-11-18 13:00:00,79.89
13,2011-11-18 14:00:00,79.59
14,2011-11-18 15:00:00,80.03
15,2011-11-18 16:00:00,80.3
16,2011-11-18 17:00:00,80.32
17,2011-11-18 18:00:00,80.03
18,2011-11-21 10:00:00,79.15
19,2011-11-21 11:00:00,78.12
20,2011-11-21 12:00:00,77.17
21,2011-11-21 13:00:00,77.5
22,2011-11-21 14:00:00,77.41
23,2011-11-21 15:00:00,77.03
24,2011-11-21 16:00:00,77.24
25,2011-11-21 17:00:00,77.24
26,2011-11-21 18:00:00,75.85
27,2011-11-22 10:00:00,77.11
28,2011-11-22 11:00:00,77.35
29,2011-11-22 12:00:00,77.09
30,2011-11-22 13:00:00,76.17
31,2011-11-22 14:00:00,77.2
32,2011-11-22 15:00:00,77.06
33,2011-11-22 16:00:00,77.04
34,2011-11-22 17:00:00,75.75
35,2011-11-22 18:00:00,76.18
36,2011-11-23 10:00:00,74.78
37,2011-11-23 11:00:00,74.8
38,2011-11-23 12:00:00,76.34
39,2011-11-23 13:00:00,76.83
40,2011-11-23 14:00:00,76.26
41,2011-11-23 15:00:00,76.98
42,2011-11-23 16:00:00,76.71
43,2011-11-23 17:00:00,76.65
44,2011-11-23 18:00:00,76.76
45,2011-11-24 10:00:00,76.66
46,2011-11-24 11:00:00,76.81
47,2011-11-24 12:00:00,76.2
48,2011-11-24 13:00:00,76.19
49,2011-11-24 14:00:00,75.7
50,2011-11-24 15:00:00,76.29
51,2011-11-24 16:00:00,76.11
52,2011-11-24 17:00:00,76.07
53,2011-11-24 18:00:00,75.71
54,2011-11-25 10:00:00,75.39
55,2011-11-25 11:00:00,75.31
56,2011-11-25 12:00:00,74.42
57,2011-11-25 13:00:00,75.15
58,2011-11-25 14:00:00,74.88
59,2011-11-25 15:00:00,76.07
60,2011-11-25 16:00:00,76.21
61,2011-11-25 17:00:00,76.72
62,2011-11-25 18:00:00,78.6
63,2011-11-28 10:00:00,80.25
64,2011-11-28 11:00:00,79.82
65,2011-11-28 12:00:00,81.86
66,2011-11-28 13:00:00,81.96
67,2011-11-28 14:00:00,82.4
68,2011-11-28 15:00:00,82.04
69,2011-11-28 16:00:00,82.08
70,2011-11-28 17:00:00,82.51
71,2011-11-28 18:00:00,82.92
72,2011-11-29 10:00:00,82.78
73,2011-11-29 11:00:00,82.04
74,2011-11-29 12:00:00,82.02
75,2011-11-29 13:00:00,82.31
76,2011-11-29 14:00:00,82.84
77,2011-11-29 15:00:00,82.78
78,2011-11-29 16:00:00,82.43
79,2011-11-29 17:00:00,82.54
80,2011-11-29 18:00:00,82.58
81,2011-11-30 10:00:00,82.25
82,2011-11-30 11:00:00,81.34
83,2011-11-30 12:00:00,82.04
84,2011-11-30 13:00:00,82.6
85,2011-11-30 14:00:00,82.97
86,2011-11-30 15:00:00,84.71
87,2011-11-30 16:00:00,85.44
88,2011-11-30 17:00:00,86.93
89,2011-11-30 18:00:00,87.55
90,2011-12-01 10:00:00,88.97
91,2011-12-01 11:00:00,89.37
92,2011-12-01 12:00:00,88.82
93,2011-12-01 13:00:00,89.01
94,2011-12-01 14:00:00,89.43
95,2011-12-01 15:00:00,88.85
96,2011-12-01 16:00:00,88.34
97,2011-12-01 17:00:00,87.61
98,2011-12-01 18:00:00,87.7
99,2011-12-02 10:00:00,87.29
100,2011-12-02 11:00:00,89.7
101,2011-12-02 12:00:00,89.4
102,2011-12-02 13:00:00,89.84
103,2011-12-02 14:00:00,90.78
104,2011-12-02 15:00:00,89.95
105,2011-12-02 16:00:00,89.87
106,2011-12-02 17:00:00,89.95
107,2011-12-02 18:00:00,89.5
108,2011-12-05 10:00:00,89.83
109,2011-12-05 11:00:00,90.07
110,2011-12-05 12:00:00,90.0
111,2011-12-05 13:00:00,90.18
112,2011-12-05 14:00:00,89.86
113,2011-12-05 15:00:00,89.76
114,2011-12-05 16:00:00,89.82
115,2011-12-05 17:00:00,90.12
116,2011-12-05 18:00:00,89.92
117,2011-12-06 10:00:00,88.83
118,2011-12-06 11:00:00,88.45
119,2011-12-06 12:00:00,89.0
120,2011-12-06 13:00:00,88.7
121,2011-12-06 14:00:00,89.1
122,2011-12-06 15:00:00,87.39
123,2011-12-06 16:00:00,87.1
124,2011-12-06 17:00:00,86.75
125,2011-12-06 18:00:00,85.9
126,2011-12-07 10:00:00,87.3
127,2011-12-07 11:00:00,86.09
128,2011-12-07 12:00:00,86.4
129,2011-12-07 13:00:00,85.55
130,2011-12-07 14:00:00,85.68
131,2011-12-07 15:00:00,85.73
132,2011-12-07 16:00:00,84.93
133,2011-12-07 17:00:00,85.15
134,2011-12-07 18:00:00,85.25
135,2011-12-08 10:00:00,86.04
136,2011-12-08 11:00:00,86.21
137,2011-12-08 12:00:00,86.33
138,2011-12-08 13:00:00,86.32
139,2011-12-08 14:00:00,85.97
140,2011-12-08 15:00:00,85.74
141,2011-12-08 16:00:00,86.4
142,2011-12-08 17:00:00,86.7
143,2011-12-08 18:00:00,86.0
144,2011-12-09 10:00:00,83.96
145,2011-12-09 11:00:00,82.03
146,2011-12-09 12:00:00,83.34
147,2011-12-09 13:00:00,82.78
148,2011-12-09 14:00:00,83.46
149,2011-12-09 15:00:00,83.15
150,2011-12-09 16:00:00,82.31
151,2011-12-09 17:00:00,82.44
152,2011-12-09 18:00:00,82.26
153,2011-12-12 10:00:00,84.37
154,2011-12-12 11:00:00,83.62
155,2011-12-12 12:00:00,83.77
156,2011-12-12 13:00:00,83.29
157,2011-12-12 14:00:00,82.48
158,2011-12-12 15:00:00,82.52
159,2011-12-12 16:00:00,82.9
160,2011-12-12 17:00:00,80.69
161,2011-12-12 18:00:00,79.96
162,2011-12-13 10:00:00,80.81
163,2011-12-13 11:00:00,80.55
164,2011-12-13 12:00:00,80.14
165,2011-12-13 13:00:00,80.4
166,2011-12-13 14:00:00,80.53
167,2011-12-13 15:00:00,81.23
168,2011-12-13 16:00:00,81.8
169,2011-12-13 17:00:00,82.38
170,2011-12-13 18:00:00,82.72
171,2011-12-14 10:00:00,81.97
172,2011-12-14 11:00:00,82.33
173,2011-12-14 12:00:00,83.22
174,2011-12-14 13:00:00,82.98
175,2011-12-14 14:00:00,82.59
176,2011-12-14 15:00:00,82.87
177,2011-12-14 16:00:00,82.96
178,2011-12-14 17:00:00,82.47
179,2011-12-14 18:00:00,81.3
180,2011-12-15 10:00:00,79.86
181,2011-12-15 11:00:00,80.8
182,2011-12-15 12:00:00,80.88
183,2011-12-15 13:00:00,80.06
184,2011-12-15 14:00:00,80.9
185,2011-12-15 15:00:00,80.08
186,2011-12-15 16:00:00,81.39
187,2011-12-15 17:00:00,82.2
188,2011-12-15 18:00:00,82.27
189,2011-12-16 10:00:00,83.11
190,2011-12-16 11:00:00,83.0
191,2011-12-16 12:00:00,82.42
192,2011-12-16 13:00:00,82.48
193,2011-12-16 14:00:00,81.61
194,2011-12-16 15:00:00,81.3
195,2011-12-16 16:00:00,81.25
196,2011-12-16 17:00:00,81.11
197,2011-12-16 18:00:00,80.62
198,2011-12-19 10:00:00,79.24
199,2011-12-19 11:00:00,79.35
200,2011-12-19 12:00:00,80.65
201,2011-12-19 13:00:00,81.37
202,2011-12-19 14:00:00,81.2
203,2011-12-19 15:00:00,81.39
204,2011-12-19 16:00:00,81.18
205,2011-12-19 17:00:00,82.14
206,2011-12-19 18:00:00,81.8
207,2011-12-20 10:00:00,81.19
208,2011-12-20 11:00:00,81.25
209,2011-12-20 12:00:00,81.0
210,2011-12-20 13:00:00,80.49
211,2011-12-20 14:00:00,80.97
212,2011-12-20 15:00:00,81.5
213,2011-12-20 16:00:00,81.94
214,2011-12-20 17:00:00,82.05
215,2011-12-20 18:00:00,82.71
216,2011-12-21 10:00:00,82.8
217,2011-12-21 11:00:00,83.35
218,2011-12-21 12:00:00,82.65
219,2011-12-21 13:00:00,82.65
220,2011-12-21 14:00:00,81.61
221,2011-12-21 15:00:00,81.05
222,2011-12-21 16:00:00,80.76
223,2011-12-21 17:00:00,80.9
224,2011-12-21 18:00:00,80.22
225,2011-12-22 10:00:00,80.33
